SA1_internal_2021	AustCitizen	persons
1	0	43
1	1	262
2	0	24
2	1	277
3	0	52
3	1	419
4	0	67
4	1	455
5	0	73
5	1	350
6	0	47
6	1	243
7	0	34
7	1	382
8	0	78
8	1	565
9	0	35
9	1	402
10	0	48
10	1	493
11	0	36
11	1	356
12	0	29
12	1	545
13	0	40
13	1	319
14	0	71
14	1	356
15	0	46
15	1	226
16	0	46
16	1	362
17	0	74
17	1	412
18	0	86
18	1	422
19	0	0
19	1	0
20	0	7
20	1	242
21	0	41
21	1	318
22	0	26
22	1	244
23	0	23
23	1	398
24	0	43
24	1	472
25	0	105
25	1	404
26	0	48
26	1	412
27	0	44
27	1	299
28	0	29
28	1	281
29	0	20
29	1	429
30	0	27
30	1	269
31	0	40
31	1	414
32	0	4
32	1	224
33	0	37
33	1	188
34	0	16
34	1	227
35	0	54
35	1	326
36	0	23
36	1	324
37	0	36
37	1	392
38	0	127
38	1	387
39	0	150
39	1	387
40	0	227
40	1	389
41	0	171
41	1	393
42	0	86
42	1	369
43	0	39
43	1	254
44	0	68
44	1	580
45	0	46
45	1	386
46	0	162
46	1	619
47	0	83
47	1	399
48	0	42
48	1	198
49	0	73
49	1	495
50	0	100
50	1	424
51	0	100
51	1	277
52	0	99
52	1	311
53	0	39
53	1	426
54	0	4
54	1	14
55	0	117
55	1	363
56	0	83
56	1	176
57	0	47
57	1	292
58	0	61
58	1	323
59	0	91
59	1	451
60	0	47
60	1	136
61	0	19
61	1	337
62	0	16
62	1	300
63	0	20
63	1	272
64	0	132
64	1	365
65	0	78
65	1	168
66	0	105
66	1	422
67	0	36
67	1	337
68	0	68
68	1	337
69	0	5
69	1	22
70	0	8
70	1	86
71	0	0
71	1	7
72	0	17
72	1	145
73	0	207
73	1	434
74	0	8
74	1	425
75	0	59
75	1	449
76	0	18
76	1	187
77	0	11
77	1	265
78	0	46
78	1	561
79	0	1
79	1	381
80	0	21
80	1	299
81	0	12
81	1	381
82	0	11
82	1	203
83	0	41
83	1	377
84	0	42
84	1	742
85	0	19
85	1	408
86	0	24
86	1	614
87	0	23
87	1	327
88	0	32
88	1	488
89	0	27
89	1	504
90	0	44
90	1	444
91	0	10
91	1	298
92	0	8
92	1	43
93	0	30
93	1	467
94	0	121
94	1	513
95	0	40
95	1	420
96	0	24
96	1	293
97	0	14
97	1	493
98	0	79
98	1	534
99	0	28
99	1	500
100	0	0
100	1	0
101	0	0
101	1	0
102	0	26
102	1	411
103	0	27
103	1	369
104	0	52
104	1	394
105	0	40
105	1	168
106	0	21
106	1	305
107	0	14
107	1	456
108	0	65
108	1	360
109	0	25
109	1	299
110	0	55
110	1	591
111	0	10
111	1	263
112	0	26
112	1	425
113	0	43
113	1	402
114	0	35
114	1	374
115	0	14
115	1	275
116	0	15
116	1	245
117	0	35
117	1	376
118	0	37
118	1	372
119	0	28
119	1	351
120	0	68
120	1	458
121	0	34
121	1	451
122	0	22
122	1	469
123	0	21
123	1	257
124	0	8
124	1	218
125	0	10
125	1	210
126	0	28
126	1	351
127	0	35
127	1	300
128	0	40
128	1	420
129	0	47
129	1	416
130	0	27
130	1	445
131	0	22
131	1	506
132	0	12
132	1	339
133	0	164
133	1	325
134	0	5
134	1	298
135	0	19
135	1	370
136	0	11
136	1	145
137	0	16
137	1	296
138	0	23
138	1	300
139	0	19
139	1	231
140	0	18
140	1	476
141	0	21
141	1	435
142	0	29
142	1	271
143	0	13
143	1	116
144	0	11
144	1	356
145	0	9
145	1	143
146	0	49
146	1	593
147	0	8
147	1	236
148	0	48
148	1	562
149	0	22
149	1	293
150	0	24
150	1	86
151	0	16
151	1	277
152	0	44
152	1	429
153	0	54
153	1	435
154	0	4
154	1	348
155	0	17
155	1	399
156	0	12
156	1	173
157	0	29
157	1	293
158	0	23
158	1	354
159	0	19
159	1	268
160	0	22
160	1	639
161	0	20
161	1	299
162	0	42
162	1	408
163	0	27
163	1	361
164	0	4
164	1	137
165	0	25
165	1	202
166	0	53
166	1	427
167	0	69
167	1	532
168	0	19
168	1	315
169	0	15
169	1	186
170	0	66
170	1	404
171	0	13
171	1	244
172	0	33
172	1	373
173	0	54
173	1	296
174	0	12
174	1	169
175	0	57
175	1	264
176	0	26
176	1	242
177	0	22
177	1	228
178	0	51
178	1	321
179	0	42
179	1	353
180	0	65
180	1	398
181	0	80
181	1	371
182	0	49
182	1	449
183	0	48
183	1	338
184	0	34
184	1	166
185	0	34
185	1	382
186	0	65
186	1	334
187	0	237
187	1	316
188	0	72
188	1	517
189	0	8
189	1	173
190	0	52
190	1	369
191	0	2
191	1	11
192	0	55
192	1	427
193	0	36
193	1	273
194	0	68
194	1	322
195	0	0
195	1	0
196	0	-2
196	1	8
197	0	28
197	1	222
198	0	1
198	1	73
199	0	72
199	1	185
200	0	26
200	1	114
201	0	4
201	1	162
202	0	13
202	1	241
203	0	13
203	1	106
204	0	5
204	1	174
205	0	49
205	1	273
206	0	44
206	1	295
207	0	16
207	1	125
208	0	46
208	1	358
209	0	13
209	1	197
210	0	18
210	1	181
211	0	14
211	1	123
212	0	23
212	1	230
213	0	36
213	1	63
214	0	43
214	1	407
215	0	39
215	1	328
216	0	54
216	1	240
217	0	55
217	1	195
218	0	32
218	1	596
219	0	32
219	1	220
220	0	23
220	1	284
221	0	160
221	1	240
222	0	28
222	1	47
223	0	55
223	1	396
224	0	18
224	1	384
225	0	56
225	1	456
226	0	75
226	1	364
227	0	75
227	1	500
228	0	34
228	1	184
229	0	16
229	1	71
230	0	9
