SA1_internal_2021	AustCitizen	persons
230	1	192
231	0	77
231	1	536
232	0	0
232	1	0
233	0	23
233	1	404
234	0	39
234	1	252
235	0	70
235	1	625
236	0	51
236	1	580
237	0	32
237	1	215
238	0	60
238	1	389
239	0	51
239	1	363
240	0	53
240	1	172
241	0	72
241	1	429
242	0	0
242	1	0
243	0	44
243	1	393
244	0	50
244	1	801
245	0	30
245	1	503
246	0	26
246	1	447
247	0	38
247	1	379
248	0	0
248	1	0
249	0	0
249	1	0
250	0	53
250	1	450
251	0	45
251	1	280
252	0	54
252	1	375
253	0	51
253	1	357
254	0	15
254	1	283
255	0	53
255	1	347
256	0	60
256	1	440
257	0	38
257	1	394
258	0	9
258	1	99
259	0	25
259	1	288
260	0	21
260	1	260
261	0	24
261	1	351
262	0	39
262	1	164
263	0	26
263	1	247
264	0	64
264	1	380
265	0	62
265	1	436
266	0	62
266	1	432
267	0	66
267	1	254
268	0	20
268	1	309
269	0	39
269	1	483
270	0	66
270	1	356
271	0	35
271	1	248
272	0	28
272	1	229
273	0	33
273	1	377
274	0	56
274	1	350
275	0	62
275	1	647
276	0	30
276	1	466
277	0	57
277	1	464
278	0	32
278	1	271
279	0	30
279	1	180
280	0	50
280	1	386
281	0	61
281	1	375
282	0	0
282	1	0
283	0	127
283	1	383
284	0	67
284	1	398
285	0	29
285	1	241
286	0	63
286	1	371
287	0	72
287	1	341
288	0	67
288	1	470
289	0	31
289	1	312
290	0	26
290	1	368
291	0	12
291	1	344
292	0	26
292	1	354
293	0	21
293	1	198
294	0	44
294	1	787
295	0	18
295	1	270
296	0	33
296	1	284
297	0	21
297	1	272
298	0	29
298	1	348
299	0	49
299	1	427
300	0	26
300	1	342
301	0	23
301	1	276
302	0	9
302	1	144
303	0	59
303	1	609
304	0	8
304	1	245
305	0	0
305	1	6
306	0	5
306	1	40
307	0	11
307	1	82
308	0	10
308	1	95
309	0	52
309	1	424
310	0	33
310	1	519
311	0	44
311	1	418
312	0	43
312	1	330
313	0	25
313	1	255
314	0	47
314	1	314
315	0	37
315	1	372
316	0	25
316	1	322
317	0	0
317	1	0
318	0	0
318	1	4
319	0	52
319	1	334
320	0	0
320	1	0
321	0	11
321	1	139
322	0	13
322	1	191
323	0	19
323	1	178
324	0	5
324	1	256
325	0	19
325	1	243
326	0	51
326	1	375
327	0	42
327	1	320
328	0	55
328	1	526
329	0	0
329	1	0
330	0	25
330	1	297
331	0	28
331	1	295
332	0	20
332	1	240
333	0	53
333	1	336
334	0	22
334	1	161
335	0	39
335	1	225
336	0	58
336	1	452
337	0	27
337	1	315
338	0	46
338	1	371
339	0	17
339	1	189
340	0	27
340	1	217
341	0	12
341	1	208
342	0	57
342	1	699
343	0	42
343	1	558
344	0	62
344	1	576
345	0	32
345	1	576
346	0	62
346	1	402
347	0	13
347	1	441
348	0	13
348	1	41
349	0	7
349	1	36
350	0	29
350	1	339
351	0	28
351	1	373
352	0	44
352	1	374
353	0	19
353	1	176
354	0	60
354	1	419
355	0	30
355	1	300
356	0	67
356	1	262
357	0	91
357	1	482
358	0	44
358	1	283
359	0	0
359	1	0
360	0	42
360	1	267
361	0	39
361	1	273
362	0	27
362	1	222
363	0	42
363	1	398
364	0	38
364	1	248
365	0	34
365	1	229
366	0	19
366	1	297
367	0	37
367	1	244
368	0	25
368	1	260
369	0	38
369	1	169
370	0	30
370	1	215
371	0	22
371	1	297
372	0	0
372	1	0
373	0	31
373	1	298
374	0	65
374	1	303
375	0	67
375	1	298
376	0	30
376	1	262
377	0	34
377	1	285
378	0	15
378	1	260
379	0	41
379	1	569
380	0	16
380	1	118
381	0	33
381	1	409
382	0	21
382	1	389
383	0	33
383	1	472
384	0	32
384	1	437
385	0	9
385	1	227
386	0	26
386	1	295
387	0	14
387	1	287
388	0	38
388	1	576
389	0	55
389	1	188
390	0	40
390	1	540
391	0	51
391	1	289
392	0	32
392	1	338
393	0	21
393	1	193
394	0	18
394	1	303
395	0	54
395	1	465
396	0	44
396	1	631
397	0	54
397	1	503
398	0	40
398	1	535
399	0	40
399	1	321
400	0	25
400	1	333
401	0	0
401	1	0
402	0	32
402	1	369
403	0	51
403	1	487
404	0	26
404	1	313
405	0	20
405	1	293
406	0	45
406	1	498
407	0	21
407	1	315
408	0	38
408	1	398
409	0	39
409	1	350
410	0	53
410	1	366
411	0	52
411	1	198
412	0	1
412	1	186
413	0	41
413	1	302
414	0	122
414	1	571
415	0	29
415	1	400
416	0	31
416	1	196
417	0	33
417	1	220
418	0	44
418	1	304
419	0	8
419	1	321
420	0	43
420	1	263
421	0	72
421	1	321
422	0	13
422	1	271
423	0	43
423	1	253
424	0	39
424	1	243
425	0	2
425	1	50
426	0	52
426	1	507
427	0	16
427	1	50
428	0	16
428	1	250
429	0	35
429	1	307
430	0	11
430	1	200
431	0	27
431	1	255
432	0	54
432	1	392
433	0	64
433	1	492
434	0	80
434	1	478
435	0	56
435	1	337
436	0	62
436	1	623
437	0	13
437	1	209
438	0	0
438	1	0
439	0	73
439	1	409
440	0	34
440	1	440
441	0	0
441	1	0
442	0	2
442	1	23
443	0	0
443	1	0
444	0	100
444	1	378
445	0	29
445	1	312
446	0	61
446	1	590
447	0	16
447	1	89
448	0	32
448	1	260
449	0	27
449	1	404
450	0	15
450	1	311
451	0	18
451	1	253
452	0	36
452	1	277
453	0	55
453	1	549
454	0	7
454	1	39
455	0	32
455	1	321
456	0	42
456	1	319
457	0	46
457	1	326
458	0	3
458	1	217
459	0	31
459	1	227
460	0	23
460	1	190
461	0	67
461	1	412
462	0	31
462	1	282
463	0	19
463	1	295
464	0	6
464	1	60
465	0	54
465	1	220
466	0	51
466	1	128
467	0	46
467	1	427
468	0	35
468	1	478
469	0	19
469	1	204
470	0	21
470	1	379
471	0	31
471	1	248
472	0	47
472	1	558
473	0	19
473	1	289
474	0	66
474	1	261
475	0	61
475	1	440
476	0	71
476	1	746
477	0	30
477	1	383
478	0	25
478	1	554
479	0	21
479	1	350
480	0	57
480	1	382
481	0	47
481	1	398
482	0	51
482	1	382
483	0	21
483	1	206
484	0	9
484	1	94
485	0	57
485	1	494
486	0	12
486	1	378
487	0	101
487	1	279
488	0	39
488	1	384
489	0	28
489	1	243
490	0	39
490	1	236
491	0	104
491	1	403
492	0	25
492	1	280
493	0	76
493	1	432
494	0	22
494	1	269
495	0	23
495	1	330
496	0	24
496	1	191
497	0	22
497	1	194
498	0	71
498	1	491
499	0	48
499	1	351
500	0	57
500	1	462
501	0	465
501	1	277
502	0	33
502	1	329
503	0	23
503	1	302
504	0	22
504	1	184
505	0	9
505	1	108
506	0	52
506	1	367
507	0	26
507	1	331
508	0	16
508	1	307
509	0	26
509	1	302
510	0	57
510	1	327
511	0	8
511	1	283
512	0	58
512	1	316
513	0	45
513	1	431
514	0	1
514	1	17
515	0	35
515	1	321
516	0	30
516	1	232
517	0	19
517	1	261
518	0	48
518	1	373
519	0	31
519	1	165
520	0	57
520	1	385
521	0	0
521	1	0
522	0	123
522	1	760
523	0	12
523	1	93
524	0	22
524	1	189
525	0	19
525	1	367
526	0	14
526	1	355
527	0	114
527	1	705
528	0	69
528	1	348
529	0	32
529	1	317
530	0	94
530	1	605
531	0	57
531	1	350
532	0	40
532	1	474
533	0	10
533	1	331
534	0	32
534	1	313
535	0	24
535	1	183
536	0	48
536	1	435
537	0	19
537	1	289
538	0	44
538	1	425
539	0	44
539	1	328
540	0	26
540	1	321
541	0	40
541	1	553
542	0	37
542	1	374
543	0	30
543	1	288
544	0	75
544	1	240
545	0	53
545	1	486
546	0	62
546	1	526
547	0	32
547	1	263
548	0	104
548	1	416
549	0	18
549	1	356
550	0	29
550	1	235
551	0	37
551	1	254
552	0	37
552	1	312
553	0	53
553	1	286
554	0	21
554	1	459
555	0	22
555	1	270
556	0	58
556	1	530
557	0	27
557	1	250
558	0	26
558	1	384
559	0	11
559	1	239
560	0	12
560	1	239
561	0	48
561	1	714
562	0	48
562	1	435
563	0	83
563	1	643
564	0	35
564	1	223
565	0	24
565	1	423
566	0	33
566	1	508
567	0	56
567	1	526
568	0	11
568	1	267
569	0	20
569	1	406
570	0	35
570	1	557
571	0	32
571	1	455
572	0	24
572	1	360
573	0	35
573	1	478
574	0	0
574	1	0
575	0	7
575	1	136
576	0	8
576	1	145
577	0	31
577	1	262
578	0	15
578	1	188
579	0	21
579	1	227
580	0	40
580	1	306
581	0	36
581	1	194
582	0	64
582	1	240
583	0	9
583	1	398
584	0	24
584	1	283
585	0	43
585	1	367
586	0	23
586	1	301
587	0	24
587	1	266
588	0	16
588	1	487
589	0	0
589	1	0
590	0	28
590	1	388
591	0	19
591	1	696
592	0	40
592	1	262
593	0	22
593	1	281
594	0	9
594	1	294
595	0	25
595	1	437
596	0	22
596	1	252
597	0	15
597	1	297
598	0	21
598	1	250
599	0	56
599	1	460
600	0	14
600	1	112
601	0	31
601	1	311
602	0	9
602	1	243
603	0	16
603	1	349
604	0	29
604	1	319
605	0	26
605	1	315
606	0	6
606	1	190
607	0	6
607	1	278
608	0	23
608	1	281
609	0	20
609	1	444
610	0	71
610	1	618
611	0	30
611	1	468
612	0	21
612	1	278
613	0	62
613	1	397
614	0	72
614	1	537
615	0	38
615	1	306
616	0	30
616	1	398
617	0	32
617	1	307
618	0	43
618	1	331
619	0	42
619	1	519
620	0	39
620	1	127
621	0	55
621	1	451
622	0	23
622	1	337
623	0	30
623	1	198
624	0	36
624	1	215
625	0	35
625	1	269
626	0	68
626	1	401
627	0	32
627	1	418
628	0	58
628	1	368
629	0	42
629	1	549
630	0	29
630	1	203
631	0	44
631	1	302
632	0	30
632	1	246
633	0	0
633	1	95
634	0	41
634	1	405
635	0	51
635	1	486
636	0	6
636	1	255
637	0	23
637	1	224
638	0	55
638	1	422
639	0	31
639	1	378
640	0	23
640	1	237
641	0	21
641	1	428
642	0	16
642	1	200
643	0	50
643	1	304
644	0	10
644	1	144
645	0	20
645	1	287
646	0	57
646	1	273
647	0	45
647	1	376
648	0	56
648	1	286
649	0	13
649	1	244
650	0	41
650	1	333
651	0	28
651	1	313
652	0	57
652	1	332
653	0	36
653	1	425
654	0	22
654	1	313
655	0	36
655	1	237
656	0	21
656	1	352
657	0	20
657	1	363
658	0	26
658	1	227
659	0	102
659	1	571
660	0	100
660	1	383
661	0	24
661	1	366
662	0	16
662	1	238
663	0	19
663	1	356
664	0	-2
664	1	51
665	0	53
665	1	379
666	0	0
666	1	0
667	0	45
667	1	567
668	0	32
668	1	609
669	0	23
669	1	210
670	0	34
670	1	268
671	0	58
671	1	488
672	0	31
672	1	436
673	0	35
673	1	362
674	0	55
674	1	582
675	0	46
675	1	444
676	0	20
676	1	404
677	0	28
677	1	424
678	0	37
678	1	323
679	0	29
679	1	421
680	0	25
680	1	342
681	0	23
681	1	244
682	0	49
682	1	384
683	0	61
683	1	381
684	0	23
684	1	321
685	0	26
685	1	315
686	0	32
686	1	418
687	0	34
687	1	508
688	0	31
688	1	371
689	0	8
689	1	232
690	0	27
690	1	274
691	0	35
691	1	357
692	0	30
692	1	362
693	0	96
693	1	493
694	0	27
694	1	490
695	0	40
695	1	433
696	0	23
696	1	321
697	0	19
697	1	282
698	0	31
698	1	469
699	0	26
699	1	344
700	0	48
700	1	260
701	0	13
701	1	342
702	0	58
702	1	319
703	0	0
703	1	5
704	0	0
704	1	0
705	0	31
705	1	494
706	0	32
706	1	341
707	0	19
707	1	459
708	0	13
708	1	529
709	0	44
709	1	279
710	0	54
710	1	494
711	0	74
711	1	647
712	0	51
712	1	555
713	0	18
713	1	209
714	0	57
714	1	244
715	0	29
715	1	224
716	0	34
716	1	322
717	0	55
717	1	332
718	0	10
718	1	195
719	0	58
719	1	372
720	0	92
720	1	381
721	0	90
721	1	468
722	0	60
722	1	388
723	0	8
723	1	7
724	0	59
724	1	404
725	0	30
725	1	316
726	0	53
726	1	316
727	0	56
727	1	413
728	0	80
728	1	421
729	0	36
729	1	401
730	0	25
730	1	253
731	0	0
731	1	33
732	0	30
732	1	228
733	0	22
733	1	234
734	0	48
734	1	391
735	0	61
735	1	350
736	0	3
736	1	170
737	0	38
737	1	411
738	0	25
738	1	473
739	0	34
739	1	524
740	0	32
740	1	487
741	0	19
741	1	358
742	0	38
742	1	380
743	0	41
743	1	413
744	0	25
744	1	372
745	0	8
745	1	267
746	0	52
746	1	371
747	0	38
747	1	355
748	0	24
748	1	328
749	0	17
749	1	227
750	0	54
750	1	440
751	0	32
751	1	360
752	0	145
752	1	326
753	0	53
753	1	533
754	0	37
754	1	290
755	0	108
755	1	560
756	0	3
756	1	12
757	0	31
757	1	360
758	0	43
758	1	396
759	0	41
759	1	384
760	0	30
760	1	347
761	0	44
761	1	297
762	0	57
762	1	467
763	0	35
763	1	379
764	0	68
764	1	431
765	0	53
765	1	698
766	0	208
766	1	619
767	0	92
767	1	219
768	0	7
768	1	54
769	0	126
769	1	339
770	0	154
770	1	531
771	0	46
771	1	178
772	0	38
772	1	520
773	0	48
773	1	471
774	0	10
774	1	93
775	0	63
775	1	559
776	0	33
776	1	195
777	0	50
777	1	275
778	0	18
778	1	176
779	0	27
779	1	403
780	0	77
780	1	280
781	0	55
781	1	310
782	0	36
782	1	250
783	0	0
783	1	11
784	0	200
784	1	537
785	0	19
785	1	205
786	0	47
786	1	217
787	0	87
787	1	487
788	0	121
788	1	677
789	0	93
789	1	328
790	0	92
790	1	453
791	0	48
791	1	463
792	0	41
792	1	429
793	0	41
793	1	294
794	0	78
794	1	706
795	0	53
795	1	321
796	0	202
796	1	323
797	0	304
797	1	614
798	0	33
798	1	310
799	0	66
799	1	548
800	0	43
800	1	342
801	0	85
801	1	458
802	0	137
802	1	518
803	0	40
803	1	462
804	0	55
804	1	577
805	0	191
805	1	342
806	0	32
806	1	328
807	0	41
807	1	484
808	0	140
808	1	265
809	0	18
809	1	189
810	0	34
810	1	510
811	0	29
811	1	359
812	0	25
812	1	335
813	0	33
813	1	301
814	0	27
814	1	274
815	0	18
815	1	186
816	0	42
816	1	362
817	0	39
817	1	39
818	0	52
818	1	314
819	0	19
819	1	369
820	0	18
820	1	295
821	0	25
821	1	274
822	0	30
822	1	322
823	0	62
823	1	714
824	0	0
824	1	0
825	0	60
825	1	501
826	0	11
826	1	182
827	0	28
827	1	377
828	0	0
828	1	7
829	0	25
829	1	363
830	0	41
830	1	305
831	0	49
831	1	571
832	0	11
832	1	255
833	0	40
833	1	388
834	0	7
834	1	151
835	0	12
835	1	322
836	0	31
836	1	312
837	0	24
837	1	400
838	0	44
838	1	433
839	0	49
839	1	487
840	0	29
840	1	371
841	0	38
841	1	415
842	0	31
842	1	216
843	0	52
843	1	424
844	0	26
844	1	352
845	0	130
845	1	561
846	0	16
846	1	330
847	0	17
847	1	291
848	0	69
848	1	737
849	0	24
849	1	308
850	0	35
850	1	476
851	0	35
851	1	420
852	0	42
852	1	390
853	0	31
853	1	531
854	0	31
854	1	286
855	0	49
855	1	518
856	0	17
856	1	371
857	0	31
857	1	443
858	0	42
858	1	550
859	0	17
859	1	283
860	0	31
860	1	309
861	0	46
861	1	357
862	0	57
862	1	232
863	0	31
863	1	213
864	0	13
864	1	134
865	0	20
865	1	211
866	0	12
866	1	208
867	0	61
867	1	474
868	0	13
868	1	288
869	0	14
869	1	395
870	0	21
870	1	287
871	0	19
871	1	196
872	0	37
872	1	459
873	0	18
873	1	384
874	0	68
874	1	480
875	0	14
875	1	327
876	0	24
876	1	148
877	0	19
877	1	383
878	0	37
878	1	473
879	0	20
879	1	238
880	0	12
880	1	303
881	0	24
881	1	366
882	0	22
882	1	226
883	0	37
883	1	443
884	0	51
884	1	457
885	0	52
885	1	608
886	0	24
886	1	248
887	0	80
887	1	624
888	0	45
888	1	495
889	0	50
889	1	605
890	0	18
890	1	227
891	0	45
891	1	434
892	0	30
892	1	353
893	0	46
893	1	451
894	0	26
894	1	213
895	0	81
895	1	601
896	0	51
896	1	315
897	0	53
897	1	292
898	0	34
898	1	272
899	0	65
899	1	594
900	0	36
900	1	424
901	0	38
901	1	409
902	0	34
902	1	508
903	0	25
903	1	353
904	0	34
904	1	547
905	0	19
905	1	286
906	0	11
906	1	251
907	0	27
907	1	415
908	0	18
908	1	254
909	0	28
909	1	552
910	0	23
910	1	309
911	0	34
911	1	445
912	0	20
912	1	336
913	0	52
913	1	504
914	0	31
914	1	488
915	0	25
915	1	300
916	0	35
916	1	388
917	0	45
917	1	313
918	0	55
918	1	666
919	0	29
919	1	375
920	0	25
920	1	287
921	0	37
921	1	550
922	0	39
922	1	386
923	0	56
923	1	450
924	0	41
924	1	383
925	0	103
925	1	598
926	0	73
926	1	557
927	0	78
927	1	574
928	0	50
928	1	609
929	0	31
929	1	305
930	0	53
930	1	456
931	0	55
931	1	477
932	0	32
932	1	354
933	0	56
933	1	500
934	0	37
934	1	370
935	0	78
935	1	548
936	0	46
936	1	482
937	0	17
937	1	351
938	0	42
938	1	180
939	0	46
939	1	422
940	0	56
940	1	612
941	0	43
941	1	458
942	0	94
942	1	496
943	0	30
943	1	363
944	0	65
944	1	353
945	0	81
945	1	324
946	0	29
946	1	354
947	0	62
947	1	110
948	0	13
948	1	136
949	0	63
949	1	166
950	0	40
950	1	335
951	0	35
951	1	280
952	0	36
952	1	271
953	0	42
953	1	404
954	0	19
954	1	308
955	0	70
955	1	525
956	0	38
956	1	286
957	0	0
957	1	0
958	0	42
958	1	472
959	0	56
959	1	342
960	0	31
960	1	364
961	0	32
961	1	292
962	0	64
962	1	515
963	0	85
963	1	462
964	0	33
964	1	178
965	0	63
965	1	447
966	0	105
966	1	576
967	0	38
967	1	422
968	0	54
968	1	421
969	0	57
969	1	413
970	0	66
970	1	405
971	0	45
971	1	203
972	0	29
972	1	262
973	0	65
973	1	457
974	0	52
974	1	272
975	0	90
975	1	558
976	0	41
976	1	287
977	0	41
977	1	333
978	0	35
978	1	410
979	0	70
979	1	329
980	0	45
980	1	348
981	0	17
981	1	241
982	0	44
982	1	409
983	0	64
983	1	505
984	0	32
984	1	340
985	0	18
985	1	349
986	0	30
986	1	295
987	0	39
987	1	355
988	0	75
988	1	592
989	0	42
989	1	386
990	0	54
990	1	292
991	0	58
991	1	396
992	0	59
992	1	465
993	0	40
993	1	306
994	0	76
994	1	400
995	0	58
995	1	438
996	0	62
996	1	454
997	0	49
997	1	434
998	0	64
998	1	399
999	0	63
999	1	323
1000	0	43
1000	1	444
1001	0	46
1001	1	387
1002	0	58
1002	1	461
1003	0	31
1003	1	333
1004	0	51
1004	1	474
1005	0	40
1005	1	374
1006	0	54
1006	1	553
1007	0	22
1007	1	340
1008	0	50
1008	1	465
1009	0	34
1009	1	622
1010	0	25
1010	1	386
1011	0	27
1011	1	427
1012	0	38
1012	1	364
1013	0	22
1013	1	419
1014	0	13
1014	1	254
1015	0	0
1015	1	0
1016	0	67
1016	1	370
1017	0	36
1017	1	450
1018	0	16
1018	1	252
1019	0	34
1019	1	499
1020	0	49
1020	1	389
1021	0	95
1021	1	532
1022	0	35
1022	1	339
1023	0	13
1023	1	392
1024	0	25
1024	1	264
1025	0	0
1025	1	0
1026	0	14
1026	1	485
1027	0	51
1027	1	391
1028	0	85
1028	1	957
1029	0	27
1029	1	308
1030	0	24
1030	1	417
1031	0	33
1031	1	403
1032	0	31
1032	1	463
1033	0	55
1033	1	445
1034	0	54
1034	1	517
1035	0	44
1035	1	266
1036	0	65
1036	1	358
1037	0	88
1037	1	469
1038	0	0
1038	1	0
1039	0	37
1039	1	464
1040	0	59
1040	1	472
1041	0	14
1041	1	221
1042	0	48
1042	1	358
1043	0	45
1043	1	378
1044	0	0
1044	1	0
1045	0	100
1045	1	558
1046	0	36
1046	1	544
1047	0	50
1047	1	336
1048	0	25
1048	1	391
1049	0	94
1049	1	414
1050	0	48
1050	1	439
1051	0	45
1051	1	328
1052	0	68
1052	1	475
1053	0	65
1053	1	436
1054	0	67
1054	1	407
1055	0	35
1055	1	317
1056	0	63
1056	1	445
1057	0	38
1057	1	425
1058	0	53
1058	1	426
1059	0	50
1059	1	368
1060	0	40
1060	1	471
1061	0	69
1061	1	288
1062	0	34
1062	1	367
1063	0	81
1063	1	535
1064	0	34
1064	1	344
1065	0	55
1065	1	416
1066	0	36
1066	1	87
1067	0	35
1067	1	322
1068	0	57
1068	1	444
1069	0	46
1069	1	379
1070	0	37
1070	1	313
1071	0	0
1071	1	3
1072	0	16
1072	1	245
1073	0	40
1073	1	277
1074	0	26
1074	1	333
1075	0	41
1075	1	171
1076	0	67
1076	1	361
1077	0	73
1077	1	623
1078	0	67
1078	1	298
1079	0	20
1079	1	191
1080	0	32
1080	1	377
1081	0	37
1081	1	329
1082	0	74
1082	1	338
1083	0	75
1083	1	308
1084	0	27
1084	1	406
1085	0	48
1085	1	417
1086	0	44
1086	1	434
1087	0	21
1087	1	299
1088	0	48
1088	1	404
1089	0	45
1089	1	466
1090	0	32
1090	1	369
1091	0	63
1091	1	516
1092	0	34
1092	1	360
1093	0	25
1093	1	247
1094	0	14
1094	1	300
1095	0	52
1095	1	579
1096	0	30
1096	1	306
1097	0	12
1097	1	345
1098	0	22
1098	1	238
1099	0	34
1099	1	654
1100	0	36
1100	1	245
1101	0	4
1101	1	261
1102	0	42
1102	1	429
1103	0	31
1103	1	300
1104	0	44
1104	1	284
1105	0	12
1105	1	202
1106	0	41
1106	1	281
1107	0	36
1107	1	620
1108	0	0
1108	1	0
1109	0	26
1109	1	483
1110	0	32
1110	1	420
1111	0	69
1111	1	677
1112	0	46
1112	1	556
1113	0	0
1113	1	0
1114	0	50
1114	1	427
1115	0	46
1115	1	266
1116	0	23
1116	1	291
1117	0	46
1117	1	436
1118	0	44
1118	1	484
1119	0	33
1119	1	272
1120	0	19
1120	1	195
1121	0	41
1121	1	408
1122	0	30
1122	1	263
1123	0	18
1123	1	369
1124	0	34
1124	1	491
1125	0	19
1125	1	292
1126	0	9
1126	1	276
1127	0	29
1127	1	276
1128	0	28
1128	1	320
1129	0	62
1129	1	588
1130	0	25
1130	1	302
1131	0	44
1131	1	445
1132	0	32
1132	1	300
1133	0	18
1133	1	413
1134	0	22
1134	1	400
1135	0	189
1135	1	150
1136	0	36
1136	1	354
1137	0	20
1137	1	368
1138	0	17
1138	1	230
1139	0	12
1139	1	322
1140	0	71
