SA1_internal_2021	medianRent
1	10920
2	14040
3	18200
4	15600
5	20020
6	20280
7	15600
8	14300
9	18200
10	16640
11	23400
12	23400
13	13104
14	11856
15	10608
16	24180
17	18876
18	20800
19	
20	22880
21	22880
22	24960
23	24960
24	23400
25	14560
26	10400
27	20800
28	16640
29	20540
30	18200
31	25480
32	32500
33	15652
34	20800
35	20800
36	27040
37	21840
38	16120
39	16640
40	14560
41	16120
42	15600
43	15600
44	23400
45	22100
46	15600
47	19760
48	11596
49	21320
50	20540
51	14560
52	18200
53	22360
54	18720
55	20800
56	18200
57	24960
58	15600
59	18200
60	20800
61	36400
62	23816
63	27300
64	13000
65	17160
66	15600
67	20800
68	18200
69	7956
70	21320
71	
72	32500
73	15600
74	19084
75	18200
76	26260
77	35880
78	19344
79	22880
80	35360
81	34840
82	23920
83	19240
84	18200
85	28600
86	28600
87	28080
88	30160
89	23400
90	28080
91	29380
92	18200
93	22360
94	17940
95	19500
96	16900
97	23920
98	24960
99	25220
100	
101	
102	36400
103	23920
104	15340
105	12376
106	23816
107	28600
108	25480
109	18980
110	36400
111	16640
112	19500
113	35360
114	28600
115	32916
116	37440
117	18980
118	34060
119	36400
120	34320
121	31200
122	31720
123	23400
124	31720
125	36192
126	23400
127	26000
128	32240
129	20800
130	17420
131	31200
132	28600
133	18720
134	33800
135	23920
136	18720
137	20072
138	19240
139	18200
140	39520
141	33280
142	14560
143	21060
144	31200
145	23660
146	26000
147	21320
148	24856
149	31096
150	20800
151	19240
152	15600
153	18200
154	28600
155	16640
156	12012
157	26000
158	28600
159	24440
160	27040
161	31200
162	23036
163	29276
164	36400
165	36452
166	24180
167	23400
168	30940
169	7800
170	11492
171	8892
172	11960
173	11076
174	10400
175	9880
176	9880
177	16640
178	14560
179	14456
180	14040
181	13780
182	15860
183	18200
184	20280
185	16692
186	15184
187	11440
188	17160
189	19032
190	16640
191	9360
192	15340
193	18720
194	11700
195	
196	
197	13000
198	16224
199	15600
200	11960
201	9100
202	15340
203	11700
204	15600
205	13000
206	22100
207	13000
208	13000
209	14040
210	12480
211	20800
212	20800
213	20956
214	13000
215	13000
216	18200
217	13416
218	21320
219	13000
220	19240
221	20800
222	11700
223	26000
224	21580
225	18720
226	18460
227	15600
228	22880
229	18720
230	26520
231	26000
232	
233	18980
234	23920
235	20852
236	15600
237	19240
238	20280
239	15600
240	15340
241	13780
242	
243	18720
244	22360
245	21320
246	19240
247	17420
248	
249	
250	18200
251	17940
252	14560
253	19760
254	19916
255	16120
256	19240
257	20020
258	15600
259	18200
260	22360
261	21320
262	17680
263	16380
264	16380
265	19760
266	15600
267	21060
268	18720
269	20800
270	18200
271	17940
272	21580
273	22360
274	21840
275	20800
276	19760
277	19760
278	18200
279	18200
280	15600
281	15600
282	
283	16120
284	12480
285	13520
286	16796
287	13000
288	18720
289	17940
290	19240
291	17160
292	16900
293	17160
294	19240
295	17420
296	12220
297	18200
298	22256
299	20540
300	14040
301	13780
302	17160
303	19656
304	17680
305	
306	6500
307	16640
308	16900
309	14820
310	15600
311	20800
312	11700
313	13000
314	8580
315	13520
316	20176
317	
318	
319	13000
320	
321	13000
322	11232
323	10400
324	13520
325	13520
326	11960
327	15080
328	13000
329	
330	12480
331	17160
332	13000
333	13520
334	15080
335	13676
336	13780
337	15860
338	15600
339	9360
340	7280
341	17316
342	20280
343	20800
344	15080
345	17680
346	19656
347	19240
348	10400
349	
350	13520
351	19760
352	21840
353	14040
354	14300
355	15600
356	11596
357	11908
358	16640
359	9100
360	15600
361	15600
362	11440
363	16900
364	10400
365	11440
366	18200
367	12740
368	16640
369	11700
370	20800
