SA1_internal_2021	medianTotalPersonalIncome
1	35828
2	42536
3	43368
4	38064
5	40508
6	39364
7	37700
8	41860
9	56108
10	31980
11	52468
12	56836
13	32240
14	40144
15	26208
16	43160
17	46800
18	46332
19	
20	61932
21	59904
22	75244
23	64636
24	59852
25	48048
26	34164
27	54548
28	44980
29	64792
30	45708
31	54236
32	55224
33	60372
34	56836
35	50804
36	56160
37	51636
38	50544
39	52520
40	48360
41	50388
42	51220
43	46280
44	55432
45	53300
46	51792
47	54236
48	40820
49	42224
50	56732
51	47840
52	58344
53	50544
54	44200
55	59280
56	51376
57	57616
58	52676
59	42016
60	53872
61	71500
62	67184
63	69212
64	51272
65	48204
66	52728
67	54600
68	57928
69	49868
70	61256
71	110448
72	60840
73	50856
74	63856
75	66664
76	82472
77	88972
78	83980
79	95368
80	87048
81	86216
82	62712
83	57408
84	72644
85	73736
86	74360
87	70564
88	77584
89	79404
90	73840
91	76076
92	43316
93	61984
94	60372
95	59696
96	64740
97	68068
98	67600
99	78156
100	
101	
102	85956
103	63596
104	45760
105	30316
106	79092
107	84292
108	78988
109	92560
110	82784
111	85436
112	86060
113	87412
114	80340
115	77012
116	74152
117	81692
118	90012
119	94952
120	86528
121	82056
122	89648
123	65416
124	76856
125	78936
126	61568
127	66352
128	67444
129	46800
130	66508
131	83980
132	79196
133	48828
134	63284
135	71240
136	60892
137	53924
138	62452
139	61724
140	62972
141	74516
142	50648
143	60476
144	60060
145	59124
146	62088
147	57824
148	63076
149	78728
150	65780
151	69940
152	51012
153	67392
154	62712
155	70200
156	55484
157	69316
158	69940
159	67600
160	75764
161	69628
162	61620
163	73788
164	56316
165	62296
166	60528
167	60320
168	73476
169	22412
170	37700
171	31720
172	35880
173	45344
174	39728
175	37544
176	43420
177	31148
178	44928
179	39104
180	44772
181	37856
182	40612
183	43212
184	38376
185	36348
186	37700
187	38324
188	41704
189	44876
190	40664
191	45032
192	41392
193	45500
194	34788
195	
196	64948
197	26468
198	59176
199	28756
200	37700
201	56316
202	32916
203	44148
204	29692
205	52208
206	48256
207	45032
208	48568
209	44772
210	33384
211	48360
212	52312
213	48672
214	36244
215	39000
216	45656
217	47788
218	48360
219	42536
220	48984
221	53612
222	46800
223	44824
224	49296
225	47528
226	44876
227	39988
228	47996
229	61724
230	65312
231	54600
232	
233	46488
234	58500
235	51012
236	25272
237	32448
238	32136
239	28808
240	26312
241	26312
242	
243	34476
244	34632
245	37336
