SA1_internal_2021	HomeCensusNight	persons
1	0	22
1	1	283
2	0	18
2	1	289
3	0	11
3	1	458
4	0	47
4	1	476
5	0	15
5	1	402
6	0	13
6	1	272
7	0	23
7	1	392
8	0	36
8	1	607
9	0	19
9	1	422
10	0	39
10	1	504
11	0	9
11	1	383
12	0	14
12	1	559
13	0	21
13	1	345
14	0	11
14	1	415
15	0	12
15	1	256
16	0	5
16	1	399
17	0	11
17	1	474
18	0	11
18	1	500
20	0	6
20	1	240
21	0	20
21	1	334
22	0	9
22	1	262
23	0	12
23	1	410
24	0	32
24	1	488
25	0	20
25	1	485
26	0	23
26	1	437
27	0	14
27	1	330
28	0	11
28	1	297
29	0	11
29	1	433
30	0	16
30	1	283
31	0	9
31	1	445
32	0	5
32	1	223
33	0	6
33	1	222
34	1	245
35	0	18
35	1	355
36	0	13
36	1	327
37	0	14
37	1	411
38	0	8
38	1	508
39	0	12
39	1	527
40	0	21
40	1	594
41	0	15
41	1	549
42	0	20
42	1	437
43	0	6
43	1	293
44	0	34
44	1	616
45	0	13
45	1	424
46	0	36
46	1	743
47	0	7
47	1	476
48	0	13
48	1	227
49	0	18
49	1	551
50	0	35
50	1	492
51	0	14
51	1	365
52	0	17
52	1	397
53	0	21
53	1	440
54	0	4
54	1	19
55	0	25
55	1	457
56	0	10
56	1	244
57	0	5
57	1	338
58	0	19
58	1	364
59	0	10
59	1	538
60	0	14
60	1	169
61	0	19
61	1	334
62	0	5
62	1	308
63	0	13
63	1	273
64	0	18
64	1	478
65	0	5
65	1	238
66	0	15
66	1	512
67	0	5
67	1	370
68	0	13
68	1	397
69	0	13
69	1	18
70	1	95
71	1	7
72	0	20
72	1	150
73	0	19
73	1	629
74	0	17
74	1	418
75	0	23
75	1	484
76	0	3
76	1	194
77	0	14
77	1	257
78	0	30
78	1	579
79	0	3
79	1	382
80	0	4
80	1	313
81	0	9
81	1	381
82	0	6
82	1	211
83	0	7
83	1	408
84	0	16
84	1	766
85	0	17
85	1	410
86	0	18
86	1	624
87	0	10
87	1	344
88	0	27
88	1	493
89	0	13
89	1	514
90	0	6
90	1	479
91	0	9
91	1	304
92	1	50
93	0	10
93	1	482
94	0	25
94	1	611
95	0	14
95	1	443
96	0	7
96	1	315
97	0	9
97	1	499
98	0	32
98	1	581
99	0	14
99	1	514
102	0	12
102	1	419
103	0	7
103	1	387
104	0	26
104	1	417
105	0	6
105	1	198
106	0	15
106	1	309
107	0	7
107	1	459
108	0	18
108	1	404
109	0	14
109	1	315
110	0	12
110	1	637
111	0	12
111	1	268
112	0	7
112	1	443
113	0	6
113	1	438
114	0	15
114	1	391
115	0	7
115	1	278
116	0	4
116	1	256
117	0	22
117	1	393
118	0	11
118	1	392
119	0	5
119	1	370
120	0	16
120	1	513
121	0	7
121	1	477
122	0	5
122	1	485
123	0	13
123	1	266
124	0	17
124	1	214
125	0	11
125	1	210
126	0	16
126	1	361
127	0	13
127	1	318
128	0	22
128	1	437
129	0	27
129	1	436
130	0	17
130	1	453
131	0	17
131	1	513
132	0	19
132	1	332
133	0	11
133	1	479
134	0	11
134	1	289
135	0	16
135	1	369
136	0	5
136	1	156
137	0	16
137	1	290
138	0	21
138	1	298
139	0	11
139	1	238
140	0	19
140	1	481
141	0	20
141	1	439
142	0	18
142	1	285
143	0	3
143	1	124
144	0	23
144	1	345
145	0	3
145	1	150
146	0	24
146	1	618
147	0	6
147	1	232
148	0	17
148	1	584
149	0	9
149	1	305
150	0	3
150	1	110
151	0	14
151	1	288
152	0	32
152	1	443
153	0	21
153	1	467
154	0	17
154	1	344
155	0	8
155	1	407
156	0	14
156	1	171
157	0	17
157	1	310
158	0	20
158	1	351
159	0	10
159	1	272
160	0	39
160	1	628
161	0	15
161	1	300
162	0	16
162	1	438
163	0	3
163	1	383
164	0	5
164	1	136
165	0	18
165	1	210
166	0	13
166	1	470
167	0	37
167	1	563
168	0	17
168	1	322
169	0	6
169	1	196
170	0	24
170	1	453
171	0	15
171	1	245
172	0	32
172	1	377
173	0	21
173	1	322
174	0	16
174	1	164
175	0	20
175	1	307
176	0	12
176	1	257
177	0	22
177	1	228
178	0	14
178	1	359
179	0	19
179	1	378
180	0	23
180	1	443
181	0	22
181	1	430
182	0	36
182	1	463
183	0	21
