SA1_internal_2021	HomeCensusNight	persons
183	1	362
184	0	9
184	1	196
185	0	14
185	1	404
186	0	7
186	1	388
187	0	14
187	1	535
188	0	19
188	1	571
189	0	9
189	1	171
190	0	22
190	1	405
191	1	10
192	0	21
192	1	459
193	0	11
193	1	295
194	0	16
194	1	374
196	1	6
197	0	6
197	1	245
198	0	6
198	1	67
199	0	25
199	1	234
200	0	18
200	1	128
201	0	17
201	1	149
202	0	11
202	1	240
203	0	11
203	1	112
204	0	12
204	1	170
205	0	14
205	1	299
206	0	26
206	1	321
207	0	15
207	1	122
208	0	21
208	1	383
209	0	7
209	1	202
210	0	16
210	1	183
211	0	11
211	1	133
212	0	9
212	1	247
213	1	95
214	0	24
214	1	427
215	0	22
215	1	337
216	0	21
216	1	270
217	0	31
217	1	222
218	0	22
218	1	606
219	0	14
219	1	235
220	0	25
220	1	283
221	0	22
221	1	377
222	0	6
222	1	66
223	0	34
223	1	417
224	0	21
224	1	387
225	0	28
225	1	491
226	0	43
226	1	395
227	0	26
227	1	549
228	0	16
228	1	204
229	0	15
229	1	68
230	0	16
230	1	187
231	0	38
231	1	576
233	0	28
233	1	402
234	0	23
234	1	265
235	0	59
235	1	637
236	0	17
236	1	617
237	0	6
237	1	237
238	0	26
238	1	420
239	0	15
239	1	399
240	0	7
240	1	218
241	0	34
241	1	467
243	0	19
243	1	419
244	0	35
244	1	821
245	0	42
245	1	494
246	0	25
246	1	451
247	0	19
247	1	399
250	0	20
250	1	487
251	0	19
251	1	305
252	0	23
252	1	404
253	0	14
253	1	388
254	0	15
254	1	284
255	0	10
255	1	391
256	0	19
256	1	484
257	0	17
257	1	412
258	0	6
258	1	103
259	0	36
259	1	277
260	0	17
260	1	264
261	0	13
261	1	361
262	0	17
262	1	184
263	0	12
263	1	261
264	0	16
264	1	429
265	0	22
265	1	483
266	0	23
266	1	465
267	0	8
267	1	311
268	0	22
268	1	311
269	0	19
269	1	505
270	0	24
270	1	399
271	0	20
271	1	259
272	0	3
272	1	246
273	0	23
273	1	377
274	0	32
274	1	370
275	0	27
275	1	679
276	0	20
276	1	476
277	0	13
277	1	506
278	0	9
278	1	297
279	0	14
279	1	196
280	0	18
280	1	417
281	0	26
281	1	410
283	0	17
283	1	485
284	0	14
284	1	446
285	0	14
285	1	256
286	0	25
286	1	408
287	0	11
287	1	396
288	0	21
288	1	518
289	0	19
289	1	329
290	0	37
290	1	351
291	0	17
291	1	344
292	0	28
292	1	352
293	0	20
293	1	200
294	0	36
294	1	796
295	0	13
295	1	272
296	0	29
296	1	286
297	0	17
297	1	282
298	0	8
298	1	368
299	0	33
299	1	443
300	0	16
300	1	354
301	0	25
301	1	270
302	0	4
302	1	145
303	0	34
303	1	633
304	0	10
304	1	242
305	0	5
305	1	3
306	1	43
307	0	4
307	1	84
308	0	8
308	1	100
309	0	15
309	1	463
310	0	21
310	1	530
311	0	24
311	1	442
312	0	26
312	1	341
313	0	20
313	1	266
314	0	23
314	1	343
315	0	23
315	1	384
316	0	17
316	1	334
318	1	4
319	0	18
319	1	371
321	0	4
321	1	149
322	0	7
322	1	197
323	0	11
323	1	190
324	0	16
324	1	246
325	0	16
325	1	241
326	0	12
326	1	415
327	0	36
327	1	325
328	0	32
328	1	552
330	0	25
330	1	303
331	0	18
331	1	307
332	0	20
332	1	242
333	0	15
333	1	378
334	0	6
334	1	179
335	0	10
335	1	248
336	0	15
336	1	493
337	0	19
337	1	325
338	0	10
338	1	406
339	0	12
339	1	194
340	0	24
340	1	222
341	0	12
341	1	207
342	0	51
342	1	706
343	0	24
343	1	571
344	0	57
344	1	583
345	0	35
345	1	575
346	0	32
346	1	438
347	0	37
347	1	421
348	1	51
349	0	10
349	1	30
350	0	18
350	1	350
351	0	26
351	1	374
352	0	36
352	1	386
353	0	15
353	1	179
354	0	23
354	1	453
355	0	19
355	1	313
356	0	29
356	1	303
357	0	30
357	1	543
358	0	22
358	1	307
360	0	36
360	1	275
361	0	16
361	1	297
362	0	19
362	1	229
363	0	21
363	1	419
364	0	14
364	1	274
365	0	22
365	1	248
366	0	6
366	1	309
367	0	14
367	1	266
368	0	23
368	1	259
369	0	16
369	1	188
370	0	6
370	1	237
371	0	24
371	1	296
373	0	17
373	1	311
374	0	18
374	1	351
375	0	23
375	1	340
376	0	30
376	1	262
377	0	19
377	1	296
378	0	32
378	1	247
379	0	36
379	1	576
380	0	11
380	1	130
381	0	33
381	1	409
382	0	19
382	1	392
383	0	33
383	1	469
384	0	24
384	1	450
385	0	16
385	1	220
386	0	31
386	1	287
387	0	20
387	1	283
388	0	22
388	1	588
389	0	8
389	1	236
390	0	51
390	1	531
391	0	19
391	1	321
392	0	41
392	1	323
393	0	18
393	1	192
394	0	14
394	1	307
395	0	31
395	1	488
396	0	43
396	1	628
397	0	34
397	1	516
398	0	32
398	1	550
399	0	10
399	1	351
400	0	19
400	1	338
402	0	11
402	1	391
403	0	27
403	1	508
404	0	21
404	1	320
405	0	20
405	1	295
406	0	41
406	1	505
407	0	11
407	1	325
408	0	35
408	1	401
409	0	20
409	1	365
410	0	13
410	1	407
411	0	6
411	1	246
412	0	16
412	1	173
413	0	25
413	1	319
414	0	26
414	1	668
415	0	17
415	1	414
416	0	13
416	1	220
417	0	14
417	1	238
418	0	18
418	1	334
419	0	12
419	1	319
420	0	11
420	1	299
421	0	14
421	1	378
422	0	16
422	1	273
423	0	4
423	1	287
424	0	14
424	1	272
425	1	47
426	0	35
426	1	519
427	0	9
427	1	55
428	0	24
428	1	246
429	0	27
429	1	315
430	0	10
430	1	198
431	0	24
431	1	260
432	0	25
432	1	417
433	0	20
433	1	538
434	0	25
434	1	535
435	0	10
435	1	389
436	0	46
436	1	631
437	0	20
437	1	202
439	0	25
439	1	461
440	0	22
440	1	451
442	1	25
444	0	31
444	1	447
445	0	20
445	1	321
446	0	38
446	1	614
447	0	4
447	1	96
448	0	23
448	1	268
449	0	29
449	1	401
450	0	22
450	1	306
451	0	5
451	1	262
452	0	9
452	1	300
453	0	28
453	1	574
454	1	36
455	0	12
455	1	339
456	0	29
456	1	334
457	0	10
457	1	364
458	0	10
458	1	208
459	0	10
459	1	248
460	0	6
460	1	211
461	0	21
461	1	463
462	0	17
462	1	297
463	0	16
463	1	300
464	0	8
464	1	66
465	0	5
465	1	269
466	0	7
466	1	169
467	0	15
467	1	460
468	0	10
468	1	506
469	0	6
469	1	217
470	0	11
470	1	393
471	0	9
471	1	267
472	0	25
472	1	580
473	0	16
473	1	294
474	0	26
474	1	302
475	0	20
475	1	479
476	0	27
476	1	789
477	0	14
477	1	394
478	0	20
478	1	561
479	0	14
479	1	359
480	0	17
480	1	420
481	0	17
481	1	429
482	0	20
482	1	412
483	0	7
483	1	217
484	0	3
484	1	96
485	0	30
485	1	527
486	0	13
486	1	381
487	0	18
487	1	361
488	0	12
488	1	415
489	0	8
489	1	264
490	0	27
490	1	248
491	0	24
491	1	480
492	0	4
492	1	301
493	0	16
493	1	495
494	0	7
494	1	282
495	0	19
495	1	337
496	0	7
496	1	208
497	0	11
497	1	205
498	0	17
498	1	542
499	0	7
499	1	391
500	0	14
500	1	506
501	0	6
501	1	738
502	0	4
502	1	355
503	0	4
503	1	322
504	0	10
504	1	197
505	0	10
505	1	108
506	0	17
506	1	404
507	0	7
507	1	349
508	0	11
508	1	316
509	0	8
509	1	320
510	0	10
510	1	375
511	0	4
511	1	286
512	0	14
512	1	357
513	0	16
513	1	459
514	1	16
515	0	14
515	1	343
516	0	14
516	1	247
517	0	7
517	1	271
518	0	16
518	1	409
519	0	5
519	1	192
520	0	12
520	1	424
522	0	38
522	1	848
523	1	102
524	0	8
524	1	200
525	0	16
525	1	371
526	0	3
526	1	364
527	0	37
527	1	785
528	0	30
528	1	382
529	0	40
529	1	312
530	0	26
530	1	675
531	0	16
531	1	396
532	0	36
532	1	485
533	0	27
533	1	319
534	0	23
534	1	325
535	0	11
535	1	200
536	0	16
536	1	469
537	0	3
537	1	302
538	0	47
538	1	427
539	0	17
539	1	355
540	0	15
540	1	332
541	0	26
541	1	575
542	0	13
542	1	400
543	0	19
543	1	296
544	0	15
544	1	298
545	0	15
545	1	526
546	0	13
546	1	573
547	0	14
547	1	283
548	0	26
548	1	488
549	0	16
549	1	361
550	0	3
550	1	263
551	0	12
551	1	276
552	0	19
552	1	330
553	0	13
553	1	321
554	0	20
554	1	458
555	0	8
555	1	280
556	0	16
556	1	569
557	0	3
557	1	272
558	0	16
558	1	395
559	0	16
559	1	238
560	0	12
560	1	240
561	0	26
561	1	731
562	0	14
562	1	470
563	0	26
563	1	703
564	0	34
564	1	223
565	0	16
565	1	430
566	0	20
566	1	524
567	0	31
567	1	550
568	0	12
568	1	266
569	0	17
569	1	406
570	0	22
570	1	564
571	0	16
571	1	467
572	0	15
572	1	367
573	0	11
573	1	499
575	1	138
576	1	155
577	0	25
577	1	264
578	0	18
578	1	189
579	0	11
579	1	230
580	0	17
580	1	326
581	0	17
581	1	212
582	0	17
582	1	290
583	0	26
583	1	381
584	0	17
584	1	285
585	0	19
585	1	394
586	0	30
586	1	293
587	0	28
587	1	267
588	0	22
588	1	487
590	0	23
590	1	394
591	0	22
591	1	696
592	0	15
592	1	291
593	0	19
593	1	281
594	0	6
594	1	305
595	0	10
595	1	449
596	0	5
596	1	266
597	0	16
597	1	293
598	0	8
598	1	270
599	0	24
599	1	485
600	1	126
601	0	8
601	1	333
602	0	10
602	1	242
603	0	9
603	1	358
604	0	15
604	1	327
605	0	6
605	1	337
606	0	11
606	1	183
607	0	15
607	1	274
608	0	4
608	1	294
609	0	14
609	1	452
610	0	27
610	1	664
611	0	14
611	1	485
612	0	16
612	1	287
613	0	21
613	1	439
614	0	24
614	1	582
615	0	13
615	1	330
616	0	26
616	1	407
617	0	5
617	1	338
618	0	19
618	1	358
619	0	23
619	1	540
620	0	7
620	1	153
621	0	10
621	1	499
622	0	20
622	1	339
623	0	7
623	1	220
624	0	17
624	1	227
625	0	21
625	1	284
626	0	17
626	1	450
627	0	14
627	1	428
628	0	20
628	1	400
629	0	30
629	1	562
630	0	8
630	1	223
631	0	9
631	1	332
632	0	20
632	1	259
633	0	6
633	1	98
634	0	36
634	1	412
635	0	39
635	1	496
636	0	5
636	1	252
637	0	12
637	1	230
638	0	15
638	1	462
639	0	25
639	1	391
640	0	12
640	1	247
641	0	29
641	1	423
642	0	15
642	1	204
643	0	8
643	1	351
644	0	13
644	1	137
645	0	11
645	1	303
646	0	21
646	1	308
647	0	11
647	1	406
648	0	20
648	1	322
649	0	5
649	1	248
650	0	25
650	1	350
651	0	22
651	1	322
652	0	42
652	1	346
653	0	45
653	1	424
654	0	13
654	1	328
655	0	23
655	1	252
656	0	25
656	1	356
657	0	21
657	1	366
658	0	8
658	1	246
659	0	34
659	1	639
660	0	26
660	1	457
661	0	22
661	1	371
662	0	23
662	1	239
663	0	22
663	1	356
664	1	49
665	0	19
665	1	408
667	0	29
667	1	586
668	0	39
668	1	600
669	0	6
669	1	229
670	0	7
670	1	295
671	0	32
671	1	510
672	0	23
672	1	443
673	0	13
673	1	387
674	0	24
674	1	617
675	0	17
675	1	476
676	0	15
676	1	418
677	0	22
677	1	430
678	0	14
678	1	346
679	0	9
679	1	441
680	0	23
680	1	344
681	0	9
681	1	265
682	0	23
682	1	405
683	0	15
683	1	427
684	0	12
684	1	329
685	0	5
685	1	334
686	0	9
686	1	436
687	0	29
687	1	518
688	0	13
688	1	392
689	0	10
689	1	228
690	0	9
690	1	292
691	0	21
691	1	374
692	0	10
692	1	378
693	0	14
693	1	566
694	0	28
694	1	489
695	0	39
695	1	432
696	0	21
696	1	322
697	1	299
698	0	13
698	1	487
699	0	8
699	1	357
700	0	26
700	1	277
701	0	5
701	1	346
702	0	15
702	1	367
703	1	5
705	0	8
705	1	512
706	0	13
706	1	358
707	0	13
707	1	466
708	0	16
708	1	527
709	0	21
709	1	300
710	0	30
710	1	513
711	0	22
711	1	695
712	0	20
712	1	589
713	0	9
713	1	223
714	0	3
714	1	293
715	0	7
715	1	249
716	0	13
716	1	337
717	0	8
717	1	379
718	0	12
718	1	193
719	0	17
719	1	415
720	0	16
720	1	456
721	0	36
721	1	525
722	0	15
722	1	433
723	1	15
724	0	18
724	1	445
725	0	9
725	1	335
726	0	9
726	1	362
727	0	14
727	1	454
728	0	19
728	1	483
729	0	5
729	1	435
730	0	3
730	1	276
731	1	33
732	1	253
733	0	4
733	1	251
734	0	7
734	1	428
735	0	10
735	1	402
736	0	4
736	1	172
737	0	11
737	1	436
738	0	16
738	1	480
739	0	18
739	1	540
740	0	13
740	1	499
741	0	9
741	1	364
742	0	12
742	1	402
743	0	18
743	1	432
744	0	11
744	1	387
745	0	7
745	1	272
746	0	6
746	1	412
747	0	18
747	1	370
748	0	17
748	1	332
749	0	5
749	1	240
750	0	16
750	1	478
751	0	27
751	1	363
752	0	17
752	1	459
753	0	20
753	1	566
754	0	4
754	1	321
755	0	22
755	1	645
756	1	12
757	0	11
757	1	381
758	0	11
758	1	424
759	0	12
759	1	407
760	0	15
760	1	360
761	0	14
761	1	326
762	0	12
762	1	515
763	0	14
763	1	402
764	0	26
764	1	475
765	0	10
765	1	742
766	0	27
766	1	806
767	0	14
767	1	302
768	0	10
768	1	54
769	0	21
769	1	448
770	0	13
770	1	674
771	0	10
771	1	215
772	0	17
772	1	548
773	0	13
773	1	505
774	0	3
774	1	99
775	0	13
775	1	604
776	0	5
776	1	224
777	0	14
777	1	310
778	0	5
778	1	188
779	0	7
779	1	419
780	0	6
780	1	342
781	0	5
781	1	361
782	0	12
782	1	277
783	1	11
784	0	40
784	1	707
785	1	218
786	0	9
786	1	258
787	0	12
787	1	564
788	0	31
788	1	772
789	0	16
789	1	408
790	0	12
790	1	534
791	0	7
791	1	495
792	0	11
792	1	457
793	0	23
793	1	309
794	0	13
794	1	768
795	0	19
795	1	358
796	0	12
796	1	512
797	0	31
797	1	885
798	0	11
798	1	330
799	0	21
799	1	595
800	0	13
800	1	370
801	0	9
801	1	537
802	0	20
802	1	634
803	0	14
803	1	487
804	0	17
804	1	622
805	0	17
805	1	513
806	0	3
806	1	352
807	0	17
807	1	513
808	0	13
808	1	388
809	0	8
809	1	203
810	0	4
810	1	540
811	0	7
811	1	379
812	0	5
812	1	351
813	0	7
813	1	323
814	0	13
814	1	295
815	1	200
816	0	9
816	1	398
817	0	23
817	1	51
818	0	12
818	1	356
819	0	4
819	1	385
820	0	8
820	1	311
821	1	301
822	0	7
822	1	344
823	0	20
823	1	757
825	0	9
825	1	551
826	0	6
826	1	191
827	0	9
827	1	396
828	1	7
829	0	9
829	1	380
830	0	14
830	1	330
831	0	11
831	1	609
832	0	7
832	1	259
833	0	5
833	1	421
834	1	158
835	0	4
835	1	330
836	0	7
836	1	335
837	0	5
837	1	420
838	0	16
838	1	459
839	0	17
839	1	516
840	0	9
840	1	391
841	0	13
841	1	444
842	0	14
842	1	231
843	0	16
843	1	463
844	0	12
844	1	367
845	0	16
845	1	674
846	0	6
846	1	335
847	0	3
847	1	303
848	0	19
848	1	782
849	0	13
849	1	321
850	0	9
850	1	498
851	0	11
851	1	445
852	0	10
852	1	424
853	0	11
853	1	553
854	0	4
854	1	313
855	0	11
855	1	553
856	0	13
856	1	374
857	0	12
857	1	460
858	0	17
858	1	577
859	0	7
859	1	293
860	0	11
860	1	337
861	0	9
861	1	395
862	0	14
862	1	276
863	0	8
863	1	234
864	0	8
864	1	138
865	0	11
865	1	225
866	0	4
866	1	220
867	0	20
867	1	522
868	0	3
868	1	299
869	0	9
869	1	404
870	0	8
870	1	292
871	0	5
871	1	209
872	0	10
872	1	485
873	0	6
873	1	399
874	0	13
874	1	530
875	0	5
875	1	333
876	1	161
877	0	12
877	1	384
878	0	15
878	1	496
879	0	4
879	1	253
880	0	3
880	1	312
881	0	10
881	1	380
882	0	3
882	1	242
883	0	10
883	1	472
884	0	4
884	1	507
885	0	11
885	1	649
886	0	4
886	1	270
887	0	12
887	1	688
888	0	6
888	1	532
889	0	33
889	1	624
890	0	9
890	1	236
891	0	6
891	1	471
892	0	9
892	1	373
893	0	7
893	1	489
894	0	8
894	1	230
895	0	29
895	1	653
896	0	15
896	1	353
897	0	15
897	1	331
898	0	5
898	1	302
899	0	15
899	1	648
900	0	9
900	1	455
901	0	20
901	1	430
902	0	25
902	1	517
903	0	12
903	1	369
904	0	21
904	1	565
905	0	7
905	1	295
906	0	12
906	1	257
907	0	19
907	1	427
908	0	5
908	1	269
909	0	20
909	1	559
910	0	9
910	1	320
911	0	14
911	1	466
912	0	5
912	1	350
913	0	20
913	1	543
914	0	19
914	1	499
915	0	9
915	1	318
916	0	5
916	1	418
917	0	18
917	1	337
918	0	24
918	1	700
919	0	7
919	1	395
920	0	8
920	1	299
921	0	13
921	1	574
922	0	3
922	1	419
923	0	12
923	1	494
924	0	17
924	1	411
925	0	20
925	1	677
926	0	24
926	1	605
927	0	19
927	1	634
928	0	17
928	1	644
929	0	4
929	1	329
930	0	19
930	1	492
931	0	19
931	1	514
932	0	13
932	1	374
933	0	11
933	1	542
934	0	7
934	1	398
935	0	31
935	1	589
936	0	17
936	1	510
937	0	8
937	1	360
938	0	17
938	1	209
939	0	16
939	1	452
940	0	25
940	1	645
941	0	16
941	1	478
942	0	29
942	1	560
943	0	6
943	1	383
944	0	22
944	1	399
945	0	15
945	1	385
946	0	7
946	1	379
947	0	6
947	1	164
948	1	143
949	0	3
949	1	221
950	0	6
950	1	365
951	0	13
951	1	301
952	0	7
952	1	296
953	0	11
953	1	436
954	0	11
954	1	311
955	0	13
955	1	581
956	0	3
956	1	318
958	0	27
958	1	487
959	0	16
959	1	380
960	0	12
960	1	382
961	0	3
961	1	322
962	0	18
962	1	561
963	0	15
963	1	536
964	0	16
964	1	193
965	0	36
965	1	480
966	0	27
966	1	655
967	0	18
967	1	443
968	0	10
968	1	463
969	0	15
969	1	453
970	0	16
970	1	456
971	0	5
971	1	239
972	0	8
972	1	286
973	0	15
973	1	509
974	0	10
974	1	314
975	0	25
975	1	621
976	0	10
976	1	318
977	0	16
977	1	352
978	0	7
978	1	434
979	0	13
979	1	385
980	0	7
980	1	393
981	0	8
981	1	252
982	0	14
982	1	437
983	0	12
983	1	554
984	0	3
984	1	375
985	0	5
985	1	361
986	0	9
986	1	320
987	0	7
987	1	381
988	0	38
988	1	630
989	0	9
989	1	418
990	0	8
990	1	337
991	0	5
991	1	446
992	0	21
992	1	505
993	1	337
994	0	10
994	1	470
995	0	12
995	1	490
996	0	16
996	1	502
997	0	23
997	1	461
998	0	16
998	1	445
999	0	17
999	1	371
1000	0	18
1000	1	472
1001	0	16
1001	1	420
1002	0	6
1002	1	513
1003	0	13
1003	1	348
1004	0	19
1004	1	500
1005	0	6
1005	1	410
1006	0	19
1006	1	587
1007	0	5
1007	1	357
1008	0	11
1008	1	504
1009	0	12
1009	1	641
1010	0	13
1010	1	401
1011	0	24
1011	1	428
1012	0	10
1012	1	393
1013	0	3
1013	1	437
1014	0	12
1014	1	254
1016	0	15
1016	1	421
1017	0	31
1017	1	462
1018	1	268
1019	0	20
1019	1	514
1020	0	6
1020	1	430
1021	0	30
1021	1	596
1022	0	16
1022	1	355
1023	0	28
1023	1	377
1024	0	3
1024	1	283
1026	0	10
1026	1	486
1027	0	19
1027	1	422
1028	0	32
1028	1	1005
1029	0	8
1029	1	325
1030	0	21
1030	1	417
1031	0	16
1031	1	424
1032	0	15
1032	1	479
1033	0	9
1033	1	487
1034	0	23
1034	1	546
1035	0	22
1035	1	288
1036	0	11
1036	1	412
1037	0	14
1037	1	540
1039	0	10
1039	1	491
1040	0	21
1040	1	518
1041	0	5
1041	1	234
1042	0	22
1042	1	386
1043	0	24
1043	1	401
1045	0	17
1045	1	636
1046	0	15
1046	1	561
1047	0	11
1047	1	379
1048	0	10
1048	1	401
1049	0	13
1049	1	500
1050	0	19
1050	1	471
1051	0	6
1051	1	367
1052	0	8
1052	1	533
1053	0	18
1053	1	482
1054	0	13
1054	1	465
1055	0	8
1055	1	344
1056	0	8
1056	1	497
1057	0	12
1057	1	454
1058	0	5
1058	1	473
1059	0	26
1059	1	392
1060	0	9
1060	1	498
1061	0	11
1061	1	351
1062	0	10
1062	1	388
1063	0	23
1063	1	602
1064	0	6
1064	1	370
1065	0	12
1065	1	454
1066	0	3
1066	1	124
1067	0	3
1067	1	354
1068	0	3
1068	1	491
1069	0	9
1069	1	419
1070	0	11
1070	1	345
1071	1	3
1072	0	6
1072	1	254
1073	0	9
1073	1	306
1074	0	3
1074	1	355
1075	0	6
1075	1	208
1076	0	10
1076	1	415
1077	0	39
1077	1	661
1078	0	12
1078	1	362
1079	0	8
1079	1	197
1080	0	14
1080	1	401
1081	0	7
1081	1	354
1082	0	20
1082	1	397
1083	0	9
1083	1	377
1084	0	12
1084	1	424
1085	0	3
1085	1	455
1086	0	11
1086	1	467
1087	0	7
1087	1	312
1088	0	3
1088	1	451
1089	0	7
1089	1	501
1090	0	16
1090	1	389
1091	0	11
1091	1	564
1092	0	13
1092	1	379
1093	0	3
1093	1	262
1094	0	4
1094	1	309
1095	0	13
1095	1	616
1096	0	13
1096	1	316
1097	0	3
1097	1	350
1098	0	9
1098	1	252
1099	0	6
1099	1	676
1100	0	7
1100	1	271
1101	0	11
1101	1	258
1102	0	9
1102	1	461
1103	0	25
1103	1	305
1104	0	3
1104	1	325
1105	0	6
1105	1	206
1106	0	6
1106	1	313
1107	0	31
1107	1	623
1109	0	21
1109	1	488
1110	0	13
1110	1	443
1111	0	15
1111	1	730
1112	0	25
1112	1	573
1114	0	11
1114	1	469
1115	1	310
1116	0	3
1116	1	315
1117	0	11
1117	1	473
1118	0	13
1118	1	510
1119	0	4
1119	1	304
1120	0	8
1120	1	207
1121	0	18
1121	1	436
1122	0	7
1122	1	289
1123	0	8
1123	1	378
1124	0	19
1124	1	505
1125	0	7
1125	1	304
1126	1	280
1127	0	3
1127	1	300
1128	0	5
1128	1	347
1129	0	11
1129	1	636
1130	0	11
1130	1	314
1131	0	13
1131	1	477
1132	0	18
1132	1	310
1133	0	15
1133	1	416
1134	0	10
1134	1	413
1135	0	12
1135	1	330
1136	0	10
1136	1	380
1137	0	6
1137	1	385
1138	0	9
1138	1	241
1139	0	5
1139	1	328
1140	0	18
1140	1	392
1141	0	18
1141	1	601
1142	0	17
1142	1	500
1143	0	8
1143	1	396
1144	0	7
1144	1	373
1145	0	10
1145	1	398
1146	0	16
1146	1	374
1147	1	225
1148	0	20
1148	1	407
1149	0	5
1149	1	210
1150	0	13
1150	1	545
1151	0	25
1151	1	424
1152	0	10
1152	1	378
1153	0	7
1153	1	324
1154	0	7
1154	1	406
1155	0	5
1155	1	424
1156	0	5
1156	1	328
1157	0	5
1157	1	246
1158	0	17
1158	1	594
1159	0	13
1159	1	578
1160	0	16
1160	1	609
1161	0	7
1161	1	555
1162	0	10
1162	1	390
1163	0	16
1163	1	406
1164	0	13
1164	1	601
1165	0	32
1165	1	525
1166	0	23
1166	1	384
1167	0	23
1167	1	691
1168	0	11
1168	1	461
1169	0	3
1169	1	349
1170	0	19
1170	1	557
1171	0	4
1171	1	292
1172	0	25
1172	1	962
1173	0	7
1173	1	292
1175	0	14
1175	1	430
1176	0	4
1176	1	386
1177	0	13
1177	1	271
1178	0	25
1178	1	641
1179	0	5
1179	1	393
1180	0	26
1180	1	298
1181	0	14
1181	1	495
1182	0	14
1182	1	411
1183	0	15
1183	1	249
1184	0	18
1184	1	457
1185	0	12
