SA1_internal_2021	medianTotalFamilyIncome
1	97500
2	117832
3	98384
4	75452
5	108940
6	82316
7	92612
8	97032
9	130988
10	77480
11	132184
12	135356
13	75088
14	86632
15	57200
16	99320
17	105924
18	106340
19	
20	140400
21	146692
22	187200
23	154440
24	140660
25	104572
26	101504
27	118144
28	105976
29	159224
30	114400
31	140400
32	147316
33	157092
34	136500
35	129012
36	144716
37	140400
38	102076
39	106236
40	91312
41	92092
42	115232
43	123448
44	134784
45	118040
46	115180
47	125164
48	133224
49	122668
50	124904
51	106756
52	111644
53	122304
54	58500
55	115700
56	105508
57	136864
58	124748
59	111020
60	108316
61	197860
62	177632
63	157612
64	95524
65	99112
66	112424
67	124072
68	101608
69	169000
70	122148
71	246948
72	145860
73	99424
74	156572
75	130676
76	183612
77	225836
78	211536
79	248144
80	244608
81	258232
82	152724
83	135876
84	185952
85	159536
86	211016
87	172016
88	177840
89	191984
90	154492
91	172016
92	136500
93	138372
94	119548
95	132184
96	148512
97	154752
98	140920
99	229216
100	
101	
102	259116
103	143728
104	109564
105	81900
106	183612
107	219908
108	140816
109	193804
110	171028
111	179088
112	183352
113	201448
114	167128
115	183976
116	195000
117	167804
118	186316
119	199628
120	185068
121	173628
122	192244
123	163800
124	193128
125	172692
126	159692
127	196820
128	166608
129	111800
130	158756
131	172120
132	189436
133	118976
134	180856
135	183404
136	143000
137	152724
138	188500
139	176748
140	169832
141	182884
142	117000
143	157612
144	160316
145	148148
146	142376
147	136500
148	137436
149	177060
150	125632
151	166400
152	110500
153	151060
154	186316
155	197340
156	145132
157	169780
158	183612
159	154076
160	201448
161	177060
162	158860
163	203944
164	164632
165	192400
166	134004
167	152464
168	214500
169	55224
170	88348
171	71500
172	88192
173	112996
174	99632
175	92872
176	117000
177	59748
178	114660
179	94224
180	114816
181	103012
182	99320
183	107536
184	111072
185	106600
186	86112
187	100048
188	91832
189	99216
190	95992
191	195000
192	94224
193	124956
194	83564
195	
196	84500
197	69316
198	114400
199	67184
200	84500
201	139724
202	97500
203	123448
204	75348
205	109200
206	126724
207	117000
208	128492
209	106132
210	71500
211	132132
212	123448
213	272948
214	93756
215	100152
216	113100
217	161200
218	121732
219	93600
220	128856
221	124176
222	69316
223	110968
224	118248
225	119028
226	100724
227	101192
228	121836
229	194948
230	140816
231	147004
232	
233	110084
234	143000
235	132444
236	65364
237	74724
238	73476
239	61360
240	68224
241	54704
242	
243	72332
244	87256
245	76024
246	90116
247	74516
248	
249	
250	72384
251	66300
252	60840
253	62660
254	65624
255	63648
256	70200
257	72540
258	81224
259	73632
260	88816
261	108316
262	80184
263	79612
264	71864
265	74516
266	65728
267	99112
268	65936
269	69212
270	73632
271	92612
272	73632
273	96408
274	93184
275	85124
276	69992
277	78520
278	70668
279	79040
280	76440
281	65312
282	
