SA1_internal_2021	medianTotalHouseholdIncome
1	82316
2	92248
3	80184
4	61464
5	76336
6	69056
7	67860
8	74308
9	119392
10	60840
11	111800
12	120536
13	65364
14	68692
15	49868
16	94224
17	88452
18	100464
19	
20	136500
21	122148
22	161564
23	148148
24	122512
25	74724
26	76336
27	102180
28	83772
29	151632
30	110500
31	141440
32	136500
33	126724
34	110916
35	120796
36	125216
37	104728
38	90584
39	81692
40	75712
41	71864
42	84968
43	96564
44	112164
45	92716
46	78156
47	103324
48	56160
49	82628
50	102440
51	72644
52	91572
53	110968
54	55224
55	95784
56	83616
57	121056
58	79456
59	81224
60	85540
61	189228
62	157092
63	131196
64	65936
65	85748
66	84760
67	106184
68	85020
69	129948
70	87724
71	246948
72	145132
73	68796
74	151892
75	98540
76	147316
77	232076
78	198224
79	248144
80	244816
81	256152
82	140088
83	109200
84	187616
85	144508
86	201448
87	159796
88	169000
89	189592
90	135772
91	164632
92	71448
93	115180
94	96824
95	121316
96	149448
97	144768
98	123448
99	201448
100	
101	
102	267228
103	119548
104	93444
105	68224
106	183404
107	211016
108	123604
109	191724
110	173420
111	175448
112	183352
113	201448
114	158600
115	177060
116	180492
117	159952
118	185484
119	203632
120	184860
121	173316
122	190216
123	161564
124	189436
125	170820
126	141804
127	170820
128	165412
129	101244
130	141804
131	168532
132	161200
133	87256
134	184184
135	169000
136	133224
137	152256
138	184548
139	178256
140	172224
141	178724
142	103324
143	125632
144	145548
145	135200
146	127400
147	120848
148	114400
149	164632
150	117000
151	180492
152	78416
153	145964
154	214500
155	199680
156	132600
157	161564
158	180960
159	158600
160	195000
161	171340
162	169000
163	217256
164	166816
165	184600
166	115700
167	147940
168	180336
169	34216
170	64480
171	56108
172	67184
173	77324
174	75504
175	70200
176	84500
177	57564
178	81588
179	65364
180	66924
181	60424
182	76336
183	74724
184	74984
185	67444
186	62452
187	63336
188	79716
189	94796
190	83564
191	97500
192	75972
193	115908
194	51012
195	
196	84500
197	49348
198	101816
199	48256
200	67132
201	140400
202	67184
203	109200
204	71500
205	93600
206	106184
207	95316
208	109980
209	92872
210	62816
211	128076
212	106860
213	272948
214	65780
215	74724
216	82628
217	126724
218	109876
219	71500
220	119548
221	86632
222	64948
223	113880
224	109876
225	89076
226	91624
227	81536
228	105612
229	136448
230	139724
231	118092
232	
233	92300
234	127972
235	121316
236	48256
237	68224
238	55432
239	47892
240	35256
241	38688
242	
243	66248
244	71864
245	73008
246	83824
247	64428
248	
249	
250	53872
251	52364
252	41912
253	56940
254	60216
255	59852
256	63024
257	61152
258	79612
259	65988
260	71500
261	98904
262	60112
263	76752
264	58032
265	58500
266	45968
267	71500
268	66456
269	61412
270	54184
271	77324
272	60424
273	72748
274	71500
275	74568
276	60892
277	69836
278	52624
279	66300
280	56732
281	47112
282	
283	48516
284	45812
285	47632
286	62816
287	41964
288	83564
289	72488
290	71500
291	62608
292	65312
293	93756
294	96720
295	85384
296	70616
297	60840
298	92092
299	78676
300	54808
301	49140
302	112112
303	71240
304	55432
305	58500
306	68224
307	84500
308	71500
309	98540
310	72436
311	74308
312	59592
313	51376
314	43004
315	82992
316	70720
317	29900
318	71500
319	78988
320	
321	47424
322	63336
323	55224
324	51324
325	75504
326	60632
327	58500
328	63128
329	
330	60112
331	82836
332	48776
333	58500
334	61724
335	65624
336	78884
337	60632
338	45292
339	75816
340	38948
341	72280
342	62712
343	77272
344	52260
345	91468
346	82732
347	73632
348	103948
349	45500
350	47060
351	67860
352	79248
353	60892
354	44200
355	64324
356	39780
357	44200
358	59020
359	37700
360	81224
361	70564
362	53092
363	85384
364	61256
365	71500
366	63336
367	51220
368	65572
369	66612
370	56628
371	72696
372	
373	54288
374	35620
375	50804
376	48932
377	79612
378	88348
379	54392
380	80184
381	85904
382	68432
383	57928
384	86788
385	47216
386	71500
387	70876
388	80860
389	55900
390	66664
391	65572
392	76180
393	82056
394	77324
395	44668
396	77480
397	75920
398	54184
399	50752
400	75504
401	
402	54704
403	51324
404	58812
405	57044
406	48360
407	75972
408	66872
409	47112
410	55796
411	52624
412	58500
413	55900
414	72072
415	68224
416	73632
417	80600
418	65468
419	76492
420	45916
421	60112
422	72384
423	43576
424	56628
425	81224
426	57148
427	71500
428	62348
429	39052
430	70304
431	42328
432	52832
433	43420
434	60372
435	52624
436	68536
437	56836
438	
439	60268
440	74412
441	29900
442	46748
443	
444	45864
445	59072
446	47528
447	38428
448	56316
449	62244
450	50648
451	74724
452	38324
453	43888
454	97500
455	56212
456	45812
457	63180
458	144976
459	78780
460	70668
461	65884
462	58500
463	66872
464	24076
465	40924
466	63648
467	105352
468	81224
469	64220
470	86112
471	61048
472	115908
473	61724
474	47788
475	57408
476	110032
477	84500
478	133016
479	105924
480	42224
481	64324
482	60632
483	93964
484	97500
485	66612
486	103480
487	58188
488	83408
489	65520
490	67184
491	60320
492	73112
493	52520
494	73632
495	48516
496	68536
497	75816
498	59228
499	86476
500	83668
501	63856
502	133068
503	60476
504	51168
505	66612
506	72592
507	85124
508	51376
509	70980
510	39936
511	122512
512	66144
513	51688
514	188500
515	73788
516	64428
517	82732
518	101504
519	38428
520	71500
521	
522	109668
523	
524	109772
525	117624
526	85748
527	76336
528	77116
529	52572
530	90012
531	83564
532	85904
533	110916
534	48984
535	47424
536	59332
537	57408
538	65728
539	78676
540	117000
541	101504
542	96668
543	76024
544	87724
545	74724
546	77532
547	93184
548	93184
549	52468
550	120848
551	68900
552	93184
553	84500
554	109668
555	57200
556	68432
557	79040
558	97500
559	134316
560	115232
561	100360
562	65520
563	60632
564	77428
565	95056
566	98280
567	74412
568	127764
569	89856
570	88972
571	96720
572	91468
573	144144
574	46800
575	117000
576	117000
577	96668
578	66040
579	94692
580	72124
581	67600
582	85384
583	158184
584	143000
585	108004
586	159536
587	83772
588	175760
589	247000
590	158600
591	192712
592	62608
593	84500
594	159224
595	148304
596	134888
597	147836
598	183872
599	140192
600	75348
601	134888
602	154648
603	219128
604	167700
605	153348
606	172224
607	178048
608	114972
609	140972
610	120796
611	218088
612	186316
613	150176
614	53352
615	51688
616	62244
617	45500
618	45136
619	79456
620	36556
621	50024
622	80184
623	102492
624	39208
625	43212
626	52312
627	65364
628	59176
629	75244
630	86632
631	36452
632	49036
633	29900
634	101192
635	76024
636	86112
637	67600
638	76960
639	93444
640	53092
641	73424
642	94536
643	53612
644	70668
645	69316
646	57408
647	80964
648	60632
649	87256
650	67652
651	54340
652	56316
653	91416
654	63752
655	37180
656	76856
657	64584
658	43940
659	51688
660	107224
661	65416
662	59124
663	45240
664	60632
665	48412
666	
667	124644
668	108056
669	115232
670	121316
671	112996
672	122824
673	131872
674	143988
675	124592
676	122356
677	123968
678	101504
679	100256
680	111280
681	101504
682	126412
683	119548
684	119340
685	96564
686	82056
687	100204
688	124956
689	98384
690	95316
691	79040
692	80860
693	79612
694	98280
695	106496
696	136500
697	123448
698	104676
699	83200
700	114192
701	104884
702	46280
703	64948
704	
705	136032
706	112944
707	122304
708	96824
709	111592
710	99736
711	37492
712	112216
713	73892
714	97500
715	124176
716	101816
717	98280
718	101348
719	88816
720	67444
721	53144
722	113516
723	71448
724	125632
725	97500
726	51012
727	35516
728	33176
729	79924
730	73112
731	175448
732	140816
733	124748
734	74984
735	84500
736	185224
737	151944
738	141960
739	167960
740	130988
741	93860
742	204256
743	146588
744	104780
745	100048
746	95316
747	56472
748	106756
749	82316
750	32812
751	125892
752	99632
753	128024
754	108316
755	36920
756	10946000
757	99320
758	80860
759	101088
760	104832
761	56316
762	82732
763	90220
764	63752
765	121836
766	70096
767	51012
768	56836
769	85852
770	80080
771	65624
772	100256
773	99476
774	105820
775	98644
776	93184
777	90012
778	96564
779	102336
780	83616
781	74880
782	66456
783	23400
784	73528
785	104988
786	73944
787	50232
788	53352
789	59124
790	53560
791	70564
792	72696
793	112216
794	109408
795	49556
796	51636
797	91988
798	173316
799	86112
800	44928
801	78208
802	56576
803	121576
804	39624
805	64116
806	131300
807	152724
808	58760
809	95836
810	112008
811	106756
812	115752
813	111904
814	115232
815	97500
816	110500
817	124748
818	121316
819	119548
820	120692
821	127972
822	106600
823	122980
824	
825	107796
826	127192
827	116272
828	10881000
829	83668
830	83408
831	84500
832	96772
833	109668
834	81900
835	115700
836	98280
837	89856
838	117000
839	96824
840	117000
841	63648
842	34788
843	53716
844	50440
845	30888
846	109564
847	139100
848	114140
849	69992
850	104468
851	109616
852	106184
853	111800
854	84500
855	135200
856	102960
857	88452
858	113568
859	93184
860	102648
861	95836
862	60632
863	84500
864	93600
865	125632
866	127608
867	111488
868	108992
869	111800
870	94224
871	132600
872	53612
873	137488
874	84916
875	92612
876	64116
877	90532
878	94588
879	115232
880	119288
881	117988
882	149448
883	92872
884	72540
885	137332
886	93600
887	80444
888	92300
889	81224
890	100724
891	87724
892	85904
893	118352
894	104728
895	86632
896	108576
897	92300
898	117832
899	54496
900	83096
901	107068
902	97500
903	81900
904	81224
905	96044
906	67600
907	105872
908	38376
909	98592
910	102180
911	109200
912	105976
913	107224
914	73216
915	102648
916	127348
917	94224
918	124332
919	128336
920	94224
921	106288
922	124072
923	100724
924	144820
925	96772
926	118196
927	114504
928	114036
929	117676
930	123032
931	98540
932	113984
933	124072
934	38168
935	113464
936	115596
937	172224
938	31200
939	138268
940	160628
941	119912
942	101244
943	106288
944	108004
945	94900
946	177632
947	86632
948	124748
949	121316
950	80600
951	48516
952	119132
953	74412
954	73632
955	73476
956	63856
957	
958	49972
959	36972
960	58500
961	77428
962	78988
963	48256
964	57668
965	91572
966	50544
967	72852
968	62920
969	61568
970	51584
971	57408
972	49140
973	62504
974	67184
975	59904
976	58500
977	101504
978	45136
979	55484
980	65520
981	54860
982	72696
983	96304
984	89752
985	86840
986	65520
987	81588
988	77532
989	57252
990	65572
991	57668
992	71500
993	69212
994	68640
995	66716
996	67964
997	83928
998	78780
999	76336
1000	94224
1001	96772
1002	59592
1003	112632
1004	87256
1005	118612
1006	111124
1007	93964
1008	79300
1009	110500
1010	121732
1011	114192
