SA1_internal_2021	medianTotalHouseholdIncome
1012	134316
1013	148980
1014	106184
1015	
1016	121836
1017	140816
1018	131196
1019	124488
1020	188500
1021	124228
1022	135564
1023	132600
1024	126152
1025	
1026	109928
1027	108888
1028	57200
1029	133224
1030	109616
1031	119392
1032	128336
1033	60112
1034	58240
1035	75816
1036	37700
1037	50024
1038	
1039	108316
1040	45916
1041	77220
1042	107900
1043	125632
1044	169000
1045	50544
1046	92872
1047	50908
1048	75816
1049	67860
1050	79300
1051	66404
1052	59852
1053	61308
1054	76856
1055	54444
1056	82472
1057	78364
1058	86632
1059	66456
1060	75504
1061	54184
1062	61048
1063	50128
1064	41912
1065	59384
1066	40456
1067	77220
1068	79872
1069	92612
1070	91572
1071	23400
1072	112632
1073	91728
1074	83408
1075	71500
1076	87308
1077	30732
1078	35568
1079	27352
1080	97500
1081	66404
1082	66768
1083	69992
1084	93860
1085	81692
1086	134888
1087	98540
1088	80496
1089	108316
1090	92040
1091	107588
1092	94432
1093	99112
1094	92872
1095	90480
1096	72072
1097	79924
1098	47944
1099	94900
1100	101816
1101	73892
1102	92196
1103	69836
1104	65936
1105	27404
1106	38844
1107	107640
1108	
1109	88504
1110	95316
1111	80964
1112	84188
1113	
1114	103116
1115	71500
1116	30992
1117	100984
1118	102856
1119	75816
1120	94224
1121	105872
1122	88348
1123	92196
1124	79872
1125	68900
1126	89076
1127	71500
1128	83824
1129	72748
1130	120952
1131	78468
1132	75816
1133	111800
1134	95628
1135	25792
1136	104572
1137	96668
1138	72540
1139	65520
1140	48256
1141	35100
1142	55016
1143	77012
1144	89648
1145	114556
1146	85904
1147	97500
1148	87724
1149	92092
1150	90376
1151	110136
1152	108316
1153	76336
1154	92456
1155	77584
1156	77220
1157	67704
1158	87880
1159	68900
1160	88556
1161	71136
1162	70252
1163	63076
1164	65572
1165	71500
1166	78936
1167	77376
1168	86632
1169	84864
1170	74932
1171	105300
1172	93704
1173	74516
1174	
1175	74724
1176	89180
1177	102076
1178	71240
1179	78416
1180	73788
1181	74516
1182	65416
1183	72124
1184	78832
1185	69836
1186	82836
1187	75140
1188	47788
1189	34476
1190	67184
1191	42848
1192	55692
1193	61724
1194	65988
1195	59280
1196	78572
1197	64116
1198	70460
1199	85280
1200	70408
1201	38428
1202	66092
1203	38324
1204	91832
1205	115336
1206	150748
1207	89648
1208	91988
1209	102336
1210	105456
1211	113516
1212	89076
1213	40560
1214	36244
1215	140816
1216	52624
1217	120224
1218	87984
1219	103012
1220	146952
1221	107224
1222	100360
1223	129168
1224	114036
1225	99632
1226	153348
1227	72748
1228	109668
1229	90428
1230	83876
1231	93964
1232	97500
1233	99216
1234	106808
1235	90376
1236	45760
1237	91936
1238	90324
1239	91780
1240	146224
1241	85540
1242	78884
1243	84032
1244	79300
1245	82732
1246	87256
1247	91416
1248	55224
1249	56108
1250	57200
1251	71500
1252	77532
1253	69420
1254	71500
1255	47112
1256	68224
1257	66716
1258	61724
1259	61204
1260	62972
1261	30004
1262	83096
1263	73892
1264	65468
1265	60424
1266	53456
1267	65780
1268	61724
1269	59176
1270	45604
1271	98540
1272	92508
1273	60944
1274	62608
1275	48880
1276	70772
1277	58812
1278	82836
1279	78832
1280	79248
1281	70668
1282	67184
1283	73424
1284	49452
1285	43212
1286	65364
1287	78468
1288	52884
1289	154076
1290	148356
1291	138632
1292	109980
1293	129064
1294	126048
1295	119132
1296	131820
1297	
1298	134316
1299	86112
1300	89024
1301	73112
1302	94692
1303	87880
1304	92196
1305	69836
1306	46592
1307	81640
1308	82056
1309	74048
1310	83200
1311	62972
1312	84500
1313	40664
1314	58448
1315	35932
1316	84500
1317	91884
1318	34892
1319	37128
1320	85748
1321	71864
1322	66612
1323	77324
1324	37752
1325	36452
1326	125216
1327	88088
1328	70200
1329	174148
1330	
1331	96564
1332	134316
1333	128752
1334	95316
1335	122148
1336	92612
1337	86112
1338	91520
1339	132600
1340	94224
1341	132600
1342	63596
1343	85332
1344	63076
1345	98020
1346	74360
1347	71032
1348	65312
1349	65988
1350	72540
1351	57772
1352	
1353	80184
1354	85904
1355	62504
1356	71812
1357	50856
1358	44616
1359	57668
1360	79300
1361	85644
1362	103012
1363	50596
1364	67808
1365	73112
1366	68224
1367	70460
1368	76648
1369	60892
1370	53612
1371	82212
1372	60736
1373	52520
1374	64376
1375	80132
1376	85176
1377	63128
1378	95836
1379	32188
1380	85540
1381	47892
1382	85280
1383	52832
1384	52156
1385	46956
1386	52884
1387	42380
1388	49296
1389	56836
1390	46332
1391	59228
1392	81224
1393	82472
1394	63388
1395	41340
1396	52364
1397	36660
1398	55900
1399	31200
1400	78520
1401	80444
1402	88192
1403	68744
1404	87724
1405	84500
1406	108056
1407	75816
1408	46800
1409	
1410	83044
1411	48204
1412	42640
1413	69004
1414	86112
1415	79404
1416	71916
1417	63544
1418	62348
1419	84032
1420	84500
1421	58448
1422	118612
1423	80184
1424	88816
1425	85072
1426	105456
1427	92612
1428	126308
1429	124176
1430	104936
1431	107692
1432	122356
1433	123968
1434	114712
1435	119860
1436	114712
1437	137436
1438	103376
1439	104624
1440	77376
1441	104676
1442	113256
1443	105092
1444	94640
1445	71500
1446	117000
1447	96200
1448	58500
1449	110500
1450	122148
1451	94484
1452	76180
1453	112372
1454	91832
1455	49088
1456	109096
1457	114140
1458	133588
1459	133068
1460	92976
1461	105872
1462	125320
1463	94744
1464	110656
1465	116324
1466	111280
1467	117000
1468	39312
1469	105508
1470	112788
1471	92300
1472	90168
1473	68068
1474	92404
1475	68744
1476	134316
1477	54184
1478	62400
1479	84500
1480	89856
1481	39676
1482	66092
1483	49192
1484	43212
1485	74412
1486	37700
1487	66924
1488	74516
1489	54288
1490	61308
1491	81224
1492	92612
1493	90376
1494	88088
1495	117000
1496	42328
1497	40248
1498	45916
1499	44460
1500	72592
1501	100152
1502	77376
1503	77064
1504	159536
1505	122096
1506	113984
1507	89336
1508	93288
1509	76076
1510	117000
1511	106444
1512	71500
1513	92612
1514	114712
1515	123448
1516	101504
1517	81016
1518	106444
1519	117988
1520	115492
1521	113256
1522	114972
1523	60840
1524	91468
1525	47164
1526	107900
1527	57772
1528	113880
1529	125632
1530	70980
1531	90324
1532	126724
1533	98384
1534	115336
1535	116220
1536	118508
1537	131404
1538	96564
1539	99216
1540	84500
1541	
1542	68900
1543	80184
1544	72384
1545	65884
1546	83564
1547	79612
1548	80496
1549	53872
1550	39416
1551	71500
1552	162500
1553	72176
1554	100360
1555	64428
1556	53404
1557	81224
1558	76700
1559	52832
1560	39416
1561	59852
1562	59176
1563	77116
1564	57304
1565	56836
1566	69108
1567	46800
1568	83408
1569	58500
1570	50336
1571	61828
1572	77428
1573	51272
1574	51324
1575	71916
1576	58500
1577	168948
1578	69160
1579	65936
1580	68796
1581	64324
1582	55224
1583	115128
1584	92872
1585	84500
1586	126880
1587	82056
1588	110500
1589	116064
1590	99268
1591	78520
1592	132860
1593	128440
1594	99944
1595	179764
1596	57044
1597	99632
1598	123968
1599	91936
1600	62296
1601	57564
1602	107900
1603	122512
1604	119756
1605	93964
1606	97084
1607	134888
1608	100152
1609	110812
1610	116168
1611	56992
1612	62920
1613	72072
1614	
1615	55224
1616	
1617	55536
1618	118612
1619	78520
1620	
1621	133224
1622	78780
1623	46800
1624	51324
1625	70824
1626	53404
1627	88452
1628	65676
1629	60632
1630	38428
1631	67184
1632	56836
1633	53092
1634	58500
1635	68536
1636	102336
1637	73320
1638	60112
1639	67184
1640	84500
1641	73112
1642	73632
1643	40040
1644	71448
1645	46800
1646	89856
1647	46124
1648	
1649	
1650	53196
1651	77376
1652	75660
1653	34268
1654	143000
1655	59956
1656	40560
1657	53040
1658	41860
1659	44824
1660	65572
1661	66248
1662	61464
1663	55432
1664	45240
1665	40820
1666	48308
1667	35360
1668	51532
1669	48828
1670	51740
1671	66092
1672	70356
1673	67756
1674	110500
1675	76804
1676	88504
1677	48048
1678	43888
1679	48256
1680	50908
1681	38324
1682	43212
1683	85748
1684	85384
1685	51012
1686	62192
1687	76076
1688	73632
1689	80184
1690	48828
1691	44200
1692	61724
1693	75504
1694	95836
1695	61308
1696	46800
1697	47372
1698	66196
1699	42692
1700	51376
1701	56680
1702	68432
1703	76804
1704	84500
1705	76232
1706	51480
1707	63076
1708	65780
1709	56524
1710	88816
1711	105196
1712	101816
1713	86632
1714	87984
1715	96304
1716	82316
1717	87724
1718	80184
1719	105196
1720	70304
1721	47528
1722	55484
1723	107692
1724	32032
1725	71500
1726	78624
1727	49660
1728	48828
1729	47268
1730	44720
1731	62192
1732	54756
1733	57564
1734	83252
1735	55536
1736	67600
1737	70980
1738	97500
1739	101192
1740	63648
1741	107692
1742	63024
1743	65416
1744	57772
1745	44200
1746	91832
1747	72436
1748	70460
1749	97500
1750	60320
1751	90376
1752	53612
1753	73424
1754	54600
1755	51376
1756	62608
1757	77012
1758	120692
1759	87048
1760	46228
1761	49348
1762	57928
1763	95316
1764	
1765	99632
1766	132288
1767	72072
1768	43524
1769	46800
1770	47788
1771	45032
1772	94224
1773	64220
1774	92456
1775	68432
1776	84500
1777	108576
1778	76492
1779	70668
1780	95836
1781	81224
1782	55224
1783	63648
1784	77012
1785	81224
1786	94224
1787	36556
1788	39208
1789	104832
1790	64584
1791	71500
1792	56056
1793	63336
1794	97500
1795	71500
1796	62816
1797	
1798	105924
1799	117000
1800	40300
1801	81224
1802	52208
1803	43524
1804	39156
1805	143000
1806	
1807	52416
1808	55224
1809	71500
1810	53924
1811	68692
1812	59332
1813	51272
1814	122148
1815	67756
1816	43108
1817	42120
1818	36400
1819	48048
1820	40404
1821	66456
1822	68484
1823	67444
1824	58500
1825	58188
1826	60632
1827	111800
1828	
1829	50492
1830	42536
1831	56836
1832	54600
1833	59280
1834	110500
1835	80756
1836	57460
1837	73476
1838	89648
1839	105716
1840	93132
1841	81224
1842	48724
1843	115700
1844	135772
1845	96200
1846	86892
1847	247000
1848	78884
1849	101504
1850	102336
1851	51220
1852	50492
1853	51220
1854	68900
1855	60320
1856	101088
1857	55692
1858	67184
1859	69836
1860	75192
1861	46332
1862	64584
1863	124176
1864	63440
1865	80444
1866	73112
1867	116116
1868	110968
1869	92612
1870	80860
1871	67496
1872	101348
1873	106600
1874	93912
1875	68432
1876	67964
1877	164632
1878	48568
1879	108108
1880	113360
1881	115752
1882	127348
1883	127088
1884	62348
1885	129428
1886	143000
1887	169000
1888	96200
1889	55224
1890	45032
1891	36036
1892	33436
1893	37076
1894	30108
1895	37700
1896	54444
1897	46280
1898	48620
1899	63856
1900	80756
1901	70772
1902	101816
1903	62660
1904	73892
1905	41860
1906	58500
1907	79040
1908	68224
1909	62868
1910	73632
1911	79872
1912	65468
1913	60632
1914	77532
1915	85124
1916	108576
1917	82316
1918	105144
1919	84500
1920	119028
1921	134992
1922	63128
1923	41964
1924	53144
1925	49348
1926	114140
1927	
1928	119288
1929	90012
1930	89024
1931	62088
1932	94224
1933	61724
1934	38220
1935	58500
1936	82524
1937	79040
1938	39416
1939	62348
1940	92612
1941	132392
1942	121836
1943	115544
1944	75608
1945	80756
1946	78520
1947	70564
1948	102648
1949	102076
1950	74412
1951	91832
1952	65624
1953	56316
1954	66612
1955	64636
1956	108316
1957	85748
1958	60424
1959	78364
1960	91884
1961	53664
1962	55640
1963	72852
1964	91884
1965	99840
1966	62660
1967	76960
1968	87256
1969	57564
1970	68224
1971	76440
1972	66924
1973	104780
1974	52416
1975	59748
1976	79092
1977	76804
1978	91416
1979	73008
1980	92248
1981	47476
1982	55900
1983	
1984	117000
1985	138632
1986	128336
1987	71500
1988	82628
1989	44408
1990	68068
1991	46800
1992	71500
1993	69160
1994	86632
1995	39416
1996	69316
1997	44564
1998	37700
1999	46800
2000	48256
2001	82628
2002	95628
2003	59904
2004	60476
2005	83252
2006	50648
2007	78312
2008	116168
2009	46800
2010	152724
2011	140816
2012	105092
2013	108784
2014	136500
2015	104884
2016	79196
2017	101816
2018	77168
2019	111644
2020	101816
2021	115544
2022	94692
2023	101816
2024	140088
2025	87360
2026	106288
2027	110708
2028	74880
2029	64428
2030	59956
2031	135876
2032	38844
2033	69004
2034	57408
2035	125216
2036	116428
2037	117000
2038	99632
2039	118976
2040	114920
2041	164320
2042	144144
2043	122876
2044	128336
2045	140400
2046	127504
2047	107692
2048	73892
2049	122304
2050	150020
2051	213564
2052	139048
2053	109980
2054	109200
2055	56784
2056	57304
2057	53508
2058	57252
2059	76752
2060	61724
2061	117000
2062	87048
2063	80600
2064	74724
2065	135408
2066	124956
2067	111904
2068	102076
2069	120952
2070	110500
2071	88504
2072	72904
2073	72748
2074	57876
2075	67860
2076	123760
2077	94224
2078	112840
2079	90220
2080	124748
2081	113360
2082	153348
2083	115336
2084	128960
2085	111800
2086	97500
2087	100724
2088	84500
2089	99632
2090	102648
2091	40768
2092	71500
2093	71500
2094	24804
2095	53716
2096	57460
2097	50804
2098	43472
2099	47580
2100	56680
2101	50752
2102	43784
2103	72748
2104	47164
2105	73216
2106	80496
2107	71136
2108	34112
2109	55952
2110	53508
2111	54756
2112	69628
2113	51012
2114	45292
2115	66248
2116	
2117	82472
2118	69108
2119	74984
2120	72956
2121	47060
2122	51012
2123	69836
2124	69784
2125	68224
2126	65416
2127	58812
2128	67028
2129	81224
2130	63648
2131	58032
2132	69576
2133	71500
2134	38948
2135	42328
2136	49504
2137	48828
2138	57044
2139	
2140	50804
2141	63024
2142	44564
2143	93184
2144	68224
2145	52780
2146	48516
2147	35360
2148	45032
2149	57200
2150	45240
2151	67444
2152	73632
2153	57200
2154	52780
2155	
2156	86320
2157	65520
2158	77220
2159	79300
2160	79092
2161	92612
2162	56836
2163	55796
2164	52364
2165	55900
2166	77012
2167	74152
2168	82316
2169	72384
2170	68692
2171	71500
2172	66612
2173	57408
2174	74984
2175	63544
2176	61724
2177	76232
2178	58500
2179	57772
2180	62452
2181	60112
2182	82056
2183	61256
2184	134732
2185	59904
2186	49868
2187	56836
2188	63076
2189	39624
2190	44824
2191	68224
2192	60424
2193	110448
2194	89856
2195	49140
2196	46800
2197	37700
2198	47216
2199	60216
2200	62140
2201	74724
2202	70044
2203	74724
2204	41236
2205	58448
2206	46956
2207	57304
2208	66196
2209	63336
2210	54184
2211	48672
2212	58864
2213	59592
2214	47268
2215	47840
2216	43732
2217	71500
2218	57252
2219	54704
2220	42692
2221	71136
2222	78676
2223	54184
2224	47580
2225	54704
2226	69264
2227	57668
2228	54028
2229	64376
2230	
2231	51480
2232	61568
2233	92248
2234	73736
2235	41756
2236	39884
2237	60736
2238	40300
2239	87048
2240	55224
2241	67184
2242	87724
2243	45812
2244	62868
2245	66768
2246	67288
2247	72748
2248	57512
2249	56316
2250	69732
2251	78520
2252	80756
2253	93964
2254	49348
2255	66092
2256	61048
2257	79612
2258	83200
2259	55432
2260	66612
2261	96668
2262	
2263	38116
2264	66612
2265	46020
2266	85384
2267	70044
2268	47268
2269	74048
2270	67652
2271	49348
2272	74256
2273	70928
2274	81016
2275	100932
2276	54496
2277	73112
2278	57408
2279	75660
2280	81224
2281	66716
2282	59176
2283	74724
2284	71500
2285	108316
2286	81224
2287	80860
2288	60424
2289	38948
2290	92924
2291	49504
2292	69004
2293	51740
2294	59072
2295	46540
2296	49348
2297	75660
2298	97500
2299	71812
2300	47788
2301	68588
2302	66092
2303	73684
2304	48776
2305	42484
2306	
2307	67184
2308	37700
2309	60268
2310	88192
2311	83408
2312	50232
2313	43992
2314	60892
2315	73632
2316	61256
2317	40612
2318	83668
2319	61724
2320	49140
2321	72228
2322	78988
2323	53196
2324	106964
2325	94224
2326	58500
2327	44148
2328	52520
2329	50336
2330	67912
2331	77324
2332	78572
2333	41808
2334	58500
2335	40560
2336	57772
2337	78624
2338	68900
2339	85748
2340	92300
2341	75816
2342	84500
2343	100724
2344	94900
2345	99632
2346	91884
2347	101192
2348	98384
2349	80184
2350	92248
2351	48516
2352	51012
2353	42640
2354	48152
2355	57408
2356	43056
2357	43056
2358	40560
2359	64636
2360	62192
2361	57408
2362	28600
2363	49036
2364	
2365	85384
2366	123448
2367	97500
2368	101452
2369	
2370	86112
2371	95836
2372	75816
2373	90532
2374	99372
2375	84500
2376	94224
2377	96720
2378	101348
2379	109512
2380	103324
2381	142064
2382	100724
2383	70564
2384	92924
2385	
2386	75556
2387	
2388	131612
2389	90116
2390	71708
2391	74724
2392	43888
2393	128648
2394	101816
2395	93600
2396	73008
2397	31824
2398	60632
2399	71500
2400	71032
2401	58500
2402	67184
2403	70824
2404	85072
2405	57668
2406	67184
2407	65832
2408	61724
2409	75660
2410	87724
2411	40560
2412	89752
2413	46800
2414	40092
2415	24648
2416	59904
2417	75140
2418	66196
2419	89492
2420	92872
2421	80964
2422	109044
2423	81224
2424	33280
2425	39832
2426	39624
2427	87724
2428	56472
2429	70772
2430	28600
2431	79508
2432	63128
2433	75660
2434	64636
2435	84500
2436	76492
2437	110968
2438	71500
2439	110084
2440	37700
2441	
2442	102752
2443	86112
2444	66092
2445	56316
2446	
2447	73320
2448	89076
2449	69316
2450	47008
2451	50024
2452	42640
2453	83564
2454	69524
2455	51584
2456	87724
2457	48828
2458	80184
2459	81588
2460	63440
2461	60008
2462	98124
2463	55900
2464	93860
2465	96564
2466	87412
2467	74048
2468	71916
2469	71708
2470	61984
2471	79300
2472	
2473	51532
2474	76232
2475	83460
2476	91520
2477	63440
2478	55224
2479	84968
2480	63024
2481	120692
2482	70876
2483	56836
2484	95316
2485	79716
2486	56108
2487	35412
2488	89492
2489	
2490	65624
2491	73112
2492	35724
2493	43316
2494	32344
2495	103272
2496	70876
2497	79092
2498	34372
2499	69056
2500	98748
2501	81224
2502	91936
2503	84500
2504	54808
2505	59540
2506	71500
2507	73112
2508	84500
2509	63076
2510	23400
