SA1_internal_2021	AgeStudent	students
129	5-14	59
129	15-19	10
129	20-24	6
129	25+	9
130	0-4	6
130	5-14	54
130	15-19	18
130	20-24	10
130	25+	12
131	0-4	24
131	5-14	86
131	15-19	16
131	25+	27
132	0-4	8
132	5-14	57
132	15-19	17
132	20-24	3
132	25+	13
133	0-4	3
133	5-14	36
133	15-19	21
133	20-24	4
133	25+	14
134	0-4	8
134	5-14	54
134	15-19	24
134	20-24	6
134	25+	11
135	0-4	5
135	5-14	57
135	15-19	14
135	20-24	7
135	25+	26
136	0-4	5
136	5-14	19
136	15-19	9
136	25+	3
137	0-4	5
137	5-14	27
137	15-19	20
137	20-24	7
137	25+	15
138	0-4	5
138	5-14	43
138	15-19	17
138	20-24	9
138	25+	8
139	5-14	20
139	15-19	18
139	20-24	6
139	25+	9
140	0-4	3
140	5-14	49
140	15-19	30
140	20-24	7
140	25+	10
141	0-4	12
141	5-14	89
141	15-19	30
141	20-24	9
141	25+	21
142	0-4	3
142	5-14	24
142	15-19	8
142	25+	7
143	5-14	8
144	0-4	5
144	5-14	46
144	15-19	19
144	20-24	11
144	25+	15
145	0-4	8
145	5-14	23
145	15-19	11
145	20-24	4
145	25+	10
146	0-4	16
146	5-14	92
146	15-19	27
146	20-24	16
146	25+	32
147	0-4	5
147	5-14	29
147	15-19	13
147	20-24	3
147	25+	5
148	0-4	12
148	5-14	84
148	15-19	14
148	20-24	3
148	25+	32
149	0-4	5
149	5-14	85
149	15-19	14
149	20-24	3
149	25+	18
150	5-14	10
150	25+	3
151	0-4	4
151	5-14	38
151	15-19	10
151	20-24	9
151	25+	16
152	0-4	11
152	5-14	53
152	15-19	15
152	20-24	3
152	25+	20
153	0-4	6
153	5-14	70
153	15-19	12
153	20-24	4
153	25+	16
154	5-14	46
154	15-19	23
154	20-24	23
154	25+	17
155	0-4	7
155	5-14	59
155	15-19	22
155	20-24	17
155	25+	11
156	0-4	6
156	5-14	12
156	15-19	4
156	25+	6
157	0-4	3
157	5-14	28
157	15-19	18
157	20-24	6
157	25+	10
158	0-4	3
158	5-14	46
158	15-19	25
158	20-24	4
158	25+	11
159	5-14	42
159	15-19	22
159	25+	17
160	0-4	7
160	5-14	102
160	15-19	28
160	20-24	11
160	25+	23
161	5-14	28
161	15-19	10
161	20-24	10
161	25+	13
162	5-14	82
162	15-19	28
162	20-24	9
162	25+	20
163	0-4	3
163	5-14	64
163	15-19	39
163	20-24	9
163	25+	9
164	5-14	23
164	15-19	9
164	20-24	8
164	25+	8
165	0-4	3
165	5-14	25
165	15-19	20
165	20-24	10
165	25+	4
166	0-4	10
166	5-14	51
166	15-19	12
166	20-24	11
166	25+	19
167	0-4	10
167	5-14	66
167	15-19	33
167	20-24	18
167	25+	25
168	0-4	5
168	5-14	38
168	15-19	28
168	20-24	8
168	25+	9
169	5-14	18
169	15-19	7
169	20-24	3
170	0-4	3
170	5-14	63
170	15-19	4
170	20-24	3
170	25+	15
171	5-14	33
171	15-19	8
171	20-24	8
171	25+	4
172	0-4	12
172	5-14	41
172	15-19	13
172	20-24	3
172	25+	9
173	0-4	5
173	5-14	33
173	15-19	3
173	20-24	6
173	25+	3
174	0-4	3
174	5-14	19
174	20-24	3
175	0-4	4
175	5-14	37
175	15-19	13
175	20-24	3
175	25+	3
176	5-14	38
176	15-19	11
176	25+	7
177	0-4	7
177	5-14	33
177	15-19	13
177	25+	9
178	0-4	16
178	5-14	40
178	15-19	13
178	25+	26
179	0-4	3
179	5-14	32
179	15-19	11
179	25+	12
180	0-4	3
180	5-14	42
180	15-19	12
180	20-24	4
180	25+	29
181	0-4	11
181	5-14	50
181	15-19	12
181	20-24	9
181	25+	13
182	0-4	5
182	5-14	42
182	15-19	17
182	20-24	3
182	25+	15
183	0-4	10
183	5-14	31
183	15-19	13
183	25+	10
184	0-4	8
184	5-14	21
184	15-19	7
184	25+	6
185	0-4	12
185	5-14	45
185	15-19	11
185	25+	10
186	0-4	6
186	5-14	35
186	15-19	15
186	20-24	5
186	25+	10
187	0-4	7
187	5-14	29
187	15-19	17
187	20-24	9
187	25+	13
188	0-4	17
188	5-14	72
188	15-19	23
188	20-24	12
188	25+	20
189	0-4	4
189	5-14	12
189	15-19	12
189	20-24	5
189	25+	4
190	0-4	9
190	5-14	54
190	15-19	15
190	20-24	5
190	25+	23
192	0-4	9
192	5-14	41
192	15-19	7
192	20-24	4
192	25+	17
193	5-14	21
193	15-19	13
193	20-24	9
193	25+	5
194	0-4	4
194	5-14	44
194	15-19	6
194	20-24	3
194	25+	10
197	5-14	26
197	15-19	5
197	20-24	4
197	25+	7
198	5-14	5
198	20-24	4
198	25+	6
199	5-14	17
199	15-19	11
199	25+	8
200	5-14	8
200	25+	4
201	0-4	3
201	5-14	15
201	15-19	10
201	20-24	6
202	5-14	27
202	15-19	19
202	25+	6
203	5-14	9
203	15-19	5
203	25+	5
204	0-4	5
204	5-14	24
204	15-19	3
204	25+	3
205	0-4	6
205	5-14	36
205	15-19	6
205	20-24	5
205	25+	9
206	0-4	4
206	5-14	43
206	15-19	16
206	20-24	6
206	25+	10
207	0-4	3
207	5-14	13
207	15-19	4
207	25+	4
208	5-14	52
208	15-19	12
208	20-24	3
208	25+	7
209	0-4	3
209	5-14	26
209	15-19	9
209	25+	6
210	5-14	11
210	15-19	4
210	25+	4
211	5-14	17
211	15-19	7
211	20-24	4
211	25+	3
212	0-4	8
212	5-14	24
212	15-19	8
212	25+	4
213	5-14	5
213	25+	3
214	0-4	4
214	5-14	50
214	15-19	16
214	20-24	4
214	25+	22
215	0-4	6
215	5-14	44
215	15-19	14
215	25+	10
216	0-4	5
216	5-14	38
216	15-19	7
216	25+	18
217	5-14	25
217	15-19	9
217	20-24	3
217	25+	9
218	0-4	15
218	5-14	100
218	15-19	32
218	20-24	5
218	25+	20
219	0-4	6
219	5-14	26
219	15-19	6
219	25+	7
220	0-4	4
220	5-14	32
220	15-19	28
220	20-24	10
220	25+	3
221	0-4	3
221	5-14	25
221	15-19	6
221	20-24	4
221	25+	13
222	5-14	8
223	0-4	4
223	5-14	40
223	15-19	41
223	20-24	14
223	25+	41
224	0-4	7
224	5-14	49
224	15-19	24
224	20-24	3
224	25+	27
225	0-4	3
225	5-14	37
225	15-19	7
225	20-24	12
225	25+	50
226	5-14	36
226	15-19	12
226	20-24	8
226	25+	17
227	0-4	15
227	5-14	54
227	15-19	21
227	20-24	3
227	25+	22
228	0-4	3
228	5-14	23
228	15-19	4
228	20-24	3
228	25+	13
229	5-14	6
229	25+	3
230	0-4	5
230	5-14	31
230	15-19	3
230	25+	17
231	0-4	9
231	5-14	81
231	15-19	32
231	20-24	19
231	25+	14
233	0-4	4
233	5-14	54
233	15-19	22
233	20-24	5
233	25+	16
234	5-14	32
234	15-19	17
234	20-24	5
234	25+	14
235	0-4	4
235	5-14	134
235	15-19	53
235	20-24	11
235	25+	30
236	0-4	6
236	5-14	58
236	15-19	20
236	20-24	8
236	25+	22
237	0-4	5
237	5-14	28
237	15-19	16
237	25+	4
238	5-14	17
238	15-19	8
238	25+	9
239	0-4	7
239	5-14	27
239	15-19	9
239	25+	12
240	5-14	9
240	25+	4
241	5-14	30
241	15-19	3
241	20-24	3
241	25+	12
243	0-4	6
243	5-14	36
243	15-19	16
243	25+	11
244	0-4	17
244	5-14	114
244	15-19	42
244	20-24	6
244	25+	22
245	0-4	10
245	5-14	53
245	15-19	12
245	20-24	5
245	25+	10
246	0-4	12
246	5-14	47
246	15-19	22
246	20-24	8
246	25+	6
247	0-4	9
247	5-14	47
247	15-19	18
247	20-24	8
247	25+	12
250	0-4	8
250	5-14	73
250	15-19	16
250	25+	14
251	5-14	26
251	15-19	6
251	25+	5
252	0-4	6
252	5-14	29
252	15-19	4
252	25+	16
253	0-4	3
253	5-14	49
253	15-19	15
253	25+	20
254	5-14	43
254	15-19	17
254	25+	9
255	0-4	4
255	5-14	62
255	15-19	12
255	20-24	3
255	25+	14
256	0-4	4
256	5-14	61
256	15-19	12
256	25+	10
257	0-4	8
257	5-14	54
257	15-19	17
257	20-24	4
257	25+	12
258	5-14	8
258	15-19	4
258	25+	5
259	5-14	31
259	15-19	12
259	25+	6
260	0-4	3
260	5-14	27
260	15-19	9
260	20-24	3
260	25+	10
261	0-4	4
261	5-14	49
261	15-19	22
261	25+	9
262	5-14	9
262	15-19	5
262	25+	4
263	0-4	3
263	5-14	32
263	15-19	14
263	20-24	4
263	25+	4
264	0-4	8
264	5-14	37
264	15-19	8
264	25+	12
265	0-4	11
265	5-14	48
265	15-19	15
265	25+	10
266	0-4	5
266	5-14	44
266	15-19	18
266	20-24	6
266	25+	16
267	5-14	18
267	15-19	8
267	25+	3
268	0-4	8
268	5-14	31
268	15-19	12
268	20-24	7
268	25+	9
269	0-4	6
269	5-14	52
269	15-19	16
269	20-24	12
269	25+	16
270	0-4	3
270	5-14	21
270	15-19	5
270	20-24	5
270	25+	15
271	5-14	22
271	15-19	13
271	20-24	3
271	25+	10
272	0-4	3
272	5-14	21
272	15-19	11
272	20-24	3
272	25+	8
273	0-4	9
273	5-14	47
273	15-19	8
273	20-24	3
273	25+	12
274	0-4	5
274	5-14	42
274	15-19	19
274	20-24	7
274	25+	7
275	0-4	7
275	5-14	56
275	15-19	25
275	20-24	8
275	25+	14
276	0-4	7
276	5-14	54
276	15-19	11
276	25+	11
277	0-4	9
277	5-14	60
277	15-19	17
277	20-24	11
277	25+	10
278	0-4	3
278	5-14	24
278	15-19	15
278	25+	8
279	5-14	19
279	15-19	12
279	20-24	8
279	25+	4
280	0-4	5
280	5-14	19
280	15-19	8
280	20-24	12
280	25+	6
281	0-4	3
281	5-14	26
281	15-19	10
281	25+	19
283	0-4	8
283	5-14	51
283	15-19	14
283	20-24	3
283	25+	14
284	0-4	6
284	5-14	49
284	15-19	14
284	25+	14
285	0-4	3
285	5-14	21
285	15-19	4
285	20-24	4
285	25+	11
286	0-4	10
286	5-14	42
286	15-19	13
286	25+	10
287	5-14	52
287	15-19	12
287	25+	15
288	0-4	5
288	5-14	79
288	15-19	32
288	20-24	9
288	25+	17
289	0-4	5
289	5-14	37
289	15-19	9
289	25+	5
290	0-4	4
290	5-14	37
290	15-19	18
290	20-24	3
290	25+	17
291	5-14	30
291	15-19	11
291	25+	13
292	5-14	34
292	15-19	10
292	20-24	4
292	25+	8
293	0-4	4
293	5-14	23
293	15-19	7
293	20-24	4
293	25+	3
294	0-4	9
294	5-14	125
294	15-19	45
294	20-24	10
294	25+	21
295	5-14	26
295	15-19	16
295	20-24	3
295	25+	8
296	0-4	4
296	5-14	37
296	15-19	9
296	25+	12
297	0-4	3
297	5-14	35
297	15-19	11
297	25+	8
298	0-4	11
298	5-14	49
298	15-19	13
298	20-24	3
298	25+	14
299	0-4	10
299	5-14	67
299	15-19	18
299	25+	21
300	0-4	6
300	5-14	48
300	15-19	15
300	25+	14
301	5-14	19
301	15-19	5
301	20-24	3
301	25+	12
302	0-4	4
302	5-14	27
302	20-24	5
302	25+	7
303	0-4	9
303	5-14	96
303	15-19	21
303	20-24	5
303	25+	13
304	5-14	40
304	15-19	3
304	25+	7
306	5-14	6
307	5-14	3
307	25+	4
308	5-14	14
308	15-19	4
308	25+	3
309	0-4	4
309	5-14	58
309	15-19	27
309	20-24	5
309	25+	17
310	5-14	63
310	15-19	26
310	20-24	5
310	25+	17
311	0-4	13
311	5-14	58
311	15-19	16
311	20-24	4
311	25+	18
312	0-4	6
312	5-14	21
312	15-19	8
312	20-24	3
312	25+	8
313	0-4	6
313	5-14	26
313	15-19	3
313	25+	6
314	0-4	5
314	5-14	33
314	15-19	9
314	25+	4
315	0-4	3
315	5-14	61
315	15-19	17
315	25+	14
316	0-4	4
316	5-14	38
316	15-19	11
316	20-24	3
316	25+	6
319	0-4	5
319	5-14	33
319	15-19	14
319	25+	10
321	5-14	13
321	15-19	7
321	25+	3
322	5-14	14
322	15-19	7
322	20-24	3
322	25+	3
323	5-14	17
323	15-19	5
323	25+	4
324	5-14	12
324	15-19	8
324	25+	8
325	0-4	3
325	5-14	21
325	15-19	9
325	25+	6
326	0-4	3
326	5-14	41
326	15-19	15
326	25+	16
327	0-4	3
327	5-14	30
327	15-19	8
327	25+	3
328	0-4	5
328	5-14	54
328	15-19	21
328	20-24	4
328	25+	15
330	0-4	3
330	5-14	37
330	15-19	6
330	20-24	3
330	25+	3
331	5-14	40
331	15-19	14
331	25+	10
332	0-4	3
332	5-14	20
332	15-19	14
332	25+	9
333	0-4	5
333	5-14	43
333	15-19	18
333	25+	9
334	5-14	23
334	15-19	11
334	25+	3
335	5-14	31
335	15-19	8
335	25+	5
336	0-4	5
336	5-14	65
336	15-19	18
336	20-24	3
336	25+	11
337	0-4	6
337	5-14	34
337	15-19	9
337	25+	3
338	5-14	45
338	15-19	18
338	20-24	3
338	25+	16
339	0-4	4
339	5-14	31
339	15-19	14
339	25+	3
340	5-14	15
340	15-19	10
340	25+	3
341	5-14	25
341	15-19	14
341	20-24	4
341	25+	7
342	0-4	11
342	5-14	73
342	15-19	26
342	20-24	3
342	25+	26
343	0-4	9
343	5-14	67
343	15-19	15
343	20-24	3
343	25+	15
344	0-4	4
344	5-14	57
344	15-19	11
344	20-24	6
344	25+	19
345	5-14	53
345	15-19	34
345	20-24	10
345	25+	25
346	0-4	9
346	5-14	59
346	15-19	22
346	20-24	3
346	25+	8
347	0-4	9
347	5-14	47
347	15-19	26
347	20-24	7
347	25+	15
349	25+	5
350	0-4	8
350	5-14	31
350	15-19	6
350	20-24	3
350	25+	8
351	0-4	8
351	5-14	35
351	15-19	18
351	20-24	3
351	25+	7
352	0-4	10
352	5-14	47
352	15-19	12
352	25+	11
353	5-14	12
353	15-19	3
353	25+	5
354	0-4	4
354	5-14	52
354	15-19	14
354	20-24	4
354	25+	10
355	0-4	3
355	5-14	40
355	15-19	12
355	25+	7
356	0-4	5
356	5-14	18
356	25+	11
357	0-4	9
357	5-14	59
357	15-19	21
357	20-24	5
357	25+	10
358	5-14	23
358	15-19	13
358	20-24	3
358	25+	6
360	5-14	30
360	15-19	3
360	20-24	4
360	25+	3
361	5-14	27
361	15-19	7
361	20-24	3
361	25+	7
362	0-4	8
362	5-14	19
362	15-19	11
362	25+	3
363	5-14	45
363	15-19	15
363	25+	14
364	0-4	9
364	5-14	12
364	15-19	13
364	20-24	6
364	25+	3
365	5-14	22
365	15-19	11
365	20-24	5
365	25+	6
366	5-14	19
366	15-19	21
366	20-24	4
366	25+	10
367	0-4	5
367	5-14	34
367	15-19	12
367	25+	10
368	5-14	18
368	15-19	5
368	25+	10
369	0-4	4
369	5-14	10
369	15-19	8
369	25+	4
370	5-14	19
370	15-19	4
371	0-4	3
371	5-14	19
371	15-19	7
371	20-24	3
371	25+	14
373	0-4	4
373	5-14	29
373	15-19	6
373	20-24	3
373	25+	7
374	5-14	8
374	15-19	3
374	25+	4
375	0-4	4
375	5-14	27
375	15-19	11
375	20-24	10
375	25+	12
376	0-4	7
376	5-14	15
376	20-24	6
376	25+	11
377	0-4	6
377	5-14	27
377	15-19	15
377	25+	11
378	0-4	3
378	5-14	27
378	15-19	8
378	25+	4
379	0-4	5
379	5-14	38
379	15-19	19
379	25+	7
380	0-4	6
380	5-14	18
380	15-19	13
381	5-14	48
381	15-19	29
381	20-24	4
381	25+	11
382	0-4	5
382	5-14	47
382	15-19	25
382	20-24	4
382	25+	8
383	0-4	8
383	5-14	32
383	15-19	16
383	20-24	5
384	0-4	9
384	5-14	80
384	15-19	14
384	20-24	8
384	25+	13
385	0-4	5
385	5-14	34
385	15-19	7
385	20-24	4
385	25+	4
386	5-14	31
386	15-19	20
386	20-24	6
386	25+	7
387	5-14	18
387	15-19	8
387	25+	7
388	0-4	12
388	5-14	69
388	15-19	34
388	20-24	8
388	25+	11
389	5-14	13
389	15-19	5
389	20-24	3
389	25+	10
390	0-4	4
390	5-14	36
390	15-19	13
390	20-24	4
390	25+	31
391	0-4	4
391	5-14	11
391	15-19	7
391	20-24	6
391	25+	12
392	0-4	5
392	5-14	23
392	15-19	16
392	20-24	3
392	25+	11
393	5-14	19
393	15-19	16
393	20-24	3
394	0-4	3
394	5-14	49
394	15-19	13
394	25+	6
395	0-4	9
395	5-14	31
395	15-19	10
395	25+	14
396	0-4	9
396	5-14	79
396	15-19	18
396	20-24	8
396	25+	18
397	0-4	9
397	5-14	78
397	15-19	13
397	20-24	3
397	25+	12
398	0-4	4
398	5-14	40
398	15-19	18
398	20-24	6
398	25+	12
399	5-14	33
399	15-19	16
399	25+	15
400	0-4	6
400	5-14	38
400	15-19	5
400	20-24	8
400	25+	5
402	0-4	4
402	5-14	29
402	15-19	10
402	20-24	3
402	25+	4
403	0-4	5
403	5-14	37
403	15-19	12
403	20-24	6
403	25+	12
404	0-4	3
404	5-14	10
404	15-19	11
404	25+	9
405	5-14	16
405	15-19	3
405	25+	4
406	0-4	3
406	5-14	34
406	15-19	12
406	25+	11
407	0-4	3
407	5-14	30
407	15-19	7
407	25+	9
408	0-4	4
408	5-14	42
408	15-19	15
408	25+	9
409	0-4	3
409	5-14	38
409	15-19	14
409	25+	10
410	0-4	6
410	5-14	37
410	15-19	19
410	20-24	8
410	25+	11
411	0-4	3
411	5-14	20
411	15-19	10
412	0-4	4
412	5-14	14
412	15-19	10
412	25+	3
413	0-4	6
413	5-14	36
413	15-19	7
413	25+	11
414	0-4	11
414	5-14	54
414	15-19	23
414	20-24	4
414	25+	23
415	0-4	9
415	5-14	49
415	15-19	18
415	25+	17
416	5-14	26
416	15-19	7
416	20-24	4
416	25+	5
417	0-4	3
417	5-14	27
417	15-19	11
417	20-24	3
417	25+	11
418	0-4	3
418	5-14	18
418	15-19	17
418	25+	9
419	0-4	3
419	5-14	28
419	15-19	15
419	20-24	10
419	25+	13
420	0-4	4
420	5-14	35
420	15-19	5
420	20-24	3
420	25+	3
421	0-4	9
421	5-14	39
421	15-19	11
421	20-24	3
421	25+	4
422	0-4	7
422	5-14	32
422	15-19	11
422	25+	9
423	5-14	21
423	25+	10
424	0-4	6
424	5-14	26
424	15-19	5
424	20-24	3
424	25+	10
425	5-14	5
425	15-19	7
426	0-4	4
426	5-14	31
426	15-19	19
426	25+	9
427	15-19	4
428	0-4	7
428	5-14	29
428	15-19	3
428	25+	16
429	0-4	10
429	5-14	28
429	15-19	17
429	25+	5
430	0-4	4
430	5-14	15
430	15-19	6
431	0-4	3
431	5-14	16
431	15-19	4
431	20-24	4
431	25+	6
432	0-4	6
432	5-14	35
432	15-19	14
432	20-24	7
432	25+	9
433	0-4	5
433	5-14	48
433	15-19	12
433	25+	3
434	0-4	10
434	5-14	37
434	15-19	8
