SA1_internal_2021	AgeStudent	students
1	0-4	7
1	5-14	19
1	15-19	15
1	25+	12
2	0-4	3
2	5-14	16
2	15-19	14
2	20-24	8
2	25+	4
3	0-4	11
3	5-14	64
3	15-19	24
3	25+	18
4	0-4	9
4	5-14	52
4	15-19	9
4	20-24	4
4	25+	17
5	0-4	9
5	5-14	35
5	15-19	10
5	20-24	5
5	25+	14
6	0-4	4
6	5-14	31
6	15-19	3
6	25+	9
7	0-4	4
7	5-14	39
7	15-19	6
7	25+	13
8	0-4	12
8	5-14	73
8	15-19	14
8	20-24	5
8	25+	14
9	0-4	3
9	5-14	57
9	15-19	18
9	20-24	3
9	25+	25
10	0-4	4
10	5-14	51
10	15-19	11
10	20-24	3
10	25+	5
11	0-4	5
11	5-14	37
11	15-19	21
11	20-24	7
11	25+	16
12	0-4	9
12	5-14	70
12	15-19	15
12	20-24	9
12	25+	9
13	0-4	4
13	5-14	43
13	15-19	12
13	25+	11
14	0-4	8
14	5-14	55
14	15-19	15
14	25+	22
15	5-14	44
15	15-19	9
15	20-24	6
15	25+	9
16	0-4	10
16	5-14	51
16	15-19	13
16	20-24	3
16	25+	14
17	0-4	7
17	5-14	30
17	15-19	22
17	20-24	6
17	25+	27
18	0-4	3
18	5-14	62
18	15-19	22
18	20-24	13
18	25+	14
20	0-4	3
20	5-14	31
20	15-19	16
20	20-24	4
20	25+	9
21	0-4	4
21	5-14	47
21	15-19	10
21	20-24	7
21	25+	16
22	0-4	5
22	5-14	42
22	15-19	10
22	20-24	8
22	25+	14
23	0-4	4
23	5-14	46
23	15-19	30
23	20-24	16
23	25+	16
24	0-4	5
24	5-14	37
24	15-19	15
24	20-24	11
24	25+	28
25	0-4	9
25	5-14	38
25	15-19	14
25	20-24	8
25	25+	28
26	0-4	3
26	5-14	62
26	15-19	16
26	20-24	3
26	25+	15
27	0-4	8
27	5-14	38
27	15-19	11
27	20-24	4
27	25+	23
28	0-4	5
28	5-14	35
28	15-19	13
28	20-24	9
28	25+	12
29	0-4	4
29	5-14	55
29	15-19	25
29	20-24	11
29	25+	10
30	0-4	5
30	5-14	47
30	15-19	16
30	20-24	4
30	25+	9
31	0-4	6
31	5-14	53
31	15-19	28
31	20-24	9
31	25+	9
32	0-4	4
32	5-14	26
32	15-19	17
32	20-24	6
32	25+	5
33	0-4	5
33	5-14	31
33	15-19	10
33	20-24	3
33	25+	12
34	0-4	3
34	5-14	39
34	15-19	4
34	20-24	9
34	25+	15
35	0-4	7
35	5-14	40
35	15-19	10
35	20-24	3
35	25+	12
36	0-4	3
36	5-14	44
36	15-19	6
36	20-24	7
36	25+	8
37	0-4	11
37	5-14	42
37	15-19	4
37	20-24	4
37	25+	24
38	0-4	10
38	5-14	45
38	15-19	10
38	20-24	8
38	25+	39
39	0-4	6
39	5-14	32
39	15-19	15
39	20-24	16
39	25+	49
40	0-4	7
40	5-14	39
40	15-19	11
40	20-24	16
40	25+	51
41	0-4	10
41	5-14	36
41	15-19	4
41	20-24	12
41	25+	57
42	0-4	7
42	5-14	41
42	15-19	9
42	20-24	11
42	25+	36
43	0-4	3
43	5-14	28
43	15-19	17
43	20-24	9
43	25+	5
44	0-4	9
44	5-14	64
44	15-19	31
44	20-24	15
44	25+	26
45	0-4	8
45	5-14	43
45	15-19	12
45	25+	23
46	0-4	8
46	5-14	55
46	15-19	29
46	20-24	17
46	25+	46
47	0-4	10
47	5-14	58
47	15-19	18
47	20-24	12
47	25+	32
48	0-4	4
48	5-14	10
48	15-19	3
48	20-24	5
48	25+	17
49	0-4	3
49	5-14	46
49	15-19	10
49	20-24	5
49	25+	19
50	0-4	5
50	5-14	54
50	15-19	12
50	20-24	14
50	25+	30
51	0-4	5
51	5-14	23
51	15-19	9
51	20-24	4
51	25+	27
52	0-4	3
52	5-14	25
52	15-19	16
52	20-24	12
52	25+	45
53	0-4	5
53	5-14	67
53	15-19	12
53	20-24	10
53	25+	21
55	0-4	8
55	5-14	32
55	15-19	3
55	20-24	10
55	25+	47
56	0-4	3
56	5-14	16
56	15-19	5
56	20-24	4
56	25+	26
57	0-4	9
57	5-14	59
57	15-19	13
57	20-24	8
57	25+	17
58	0-4	5
58	5-14	28
58	15-19	19
58	20-24	6
58	25+	26
59	0-4	8
59	5-14	30
59	15-19	10
59	20-24	9
59	25+	37
60	5-14	26
60	15-19	6
60	25+	15
61	0-4	8
61	5-14	38
61	15-19	17
61	20-24	13
61	25+	18
62	0-4	4
62	5-14	23
62	15-19	20
62	20-24	10
62	25+	10
63	0-4	5
63	5-14	35
63	15-19	14
63	25+	12
64	0-4	10
64	5-14	35
64	15-19	9
64	20-24	11
64	25+	45
65	0-4	4
65	5-14	19
65	15-19	10
65	20-24	4
65	25+	14
66	0-4	3
66	5-14	42
66	15-19	13
66	20-24	8
66	25+	39
67	0-4	10
67	5-14	30
67	15-19	8
67	20-24	7
67	25+	16
68	0-4	7
68	5-14	29
68	15-19	9
68	20-24	10
68	25+	23
69	5-14	4
70	5-14	10
70	15-19	4
70	25+	9
71	5-14	5
72	0-4	4
72	5-14	11
72	15-19	4
72	20-24	5
72	25+	4
73	0-4	9
73	5-14	38
73	15-19	4
73	20-24	16
73	25+	76
74	0-4	19
74	5-14	66
74	15-19	14
74	20-24	9
74	25+	34
75	0-4	6
75	5-14	42
75	15-19	3
75	20-24	10
75	25+	27
76	0-4	5
76	5-14	35
76	15-19	9
76	20-24	3
76	25+	19
77	0-4	10
77	5-14	44
77	15-19	16
77	20-24	9
77	25+	6
78	0-4	21
78	5-14	105
78	15-19	44
78	20-24	11
78	25+	28
79	0-4	15
79	5-14	84
79	15-19	26
79	20-24	6
79	25+	12
80	0-4	7
80	5-14	40
80	15-19	33
80	20-24	12
80	25+	19
81	0-4	8
81	5-14	69
81	15-19	33
81	20-24	16
81	25+	15
82	5-14	26
82	15-19	11
82	20-24	4
82	25+	5
83	0-4	3
83	5-14	31
83	15-19	26
83	20-24	8
83	25+	19
84	0-4	5
84	5-14	134
84	15-19	62
84	20-24	21
84	25+	24
85	0-4	9
85	5-14	56
85	15-19	28
85	20-24	7
85	25+	14
86	0-4	13
86	5-14	122
86	15-19	62
86	20-24	28
86	25+	24
87	0-4	10
87	5-14	51
87	15-19	31
87	20-24	13
87	25+	24
88	0-4	5
88	5-14	69
88	15-19	32
88	20-24	13
88	25+	21
89	0-4	7
89	5-14	84
89	15-19	31
89	20-24	15
89	25+	21
90	0-4	3
90	5-14	83
90	15-19	21
90	20-24	7
90	25+	22
91	0-4	14
91	5-14	43
91	15-19	15
91	20-24	8
91	25+	12
92	0-4	6
93	0-4	15
93	5-14	53
93	15-19	28
93	20-24	11
93	25+	22
94	0-4	11
94	5-14	43
94	15-19	12
94	20-24	13
94	25+	35
95	0-4	9
95	5-14	57
95	15-19	12
95	20-24	7
95	25+	23
96	0-4	10
96	5-14	50
96	15-19	16
96	20-24	7
96	25+	26
97	0-4	12
97	5-14	84
97	15-19	23
97	20-24	16
97	25+	29
98	0-4	14
98	5-14	90
98	15-19	28
98	20-24	11
98	25+	27
99	0-4	10
99	5-14	65
99	15-19	43
99	20-24	17
99	25+	17
102	0-4	9
102	5-14	63
102	15-19	47
102	20-24	17
102	25+	10
103	0-4	4
103	5-14	47
103	15-19	16
103	20-24	5
103	25+	16
104	0-4	7
104	5-14	66
104	15-19	22
104	25+	11
105	5-14	24
105	15-19	8
105	25+	7
106	0-4	6
106	5-14	36
106	15-19	20
106	20-24	4
106	25+	20
107	0-4	14
107	5-14	61
107	15-19	40
107	20-24	15
107	25+	19
108	0-4	12
108	5-14	54
108	20-24	10
108	25+	29
109	0-4	9
109	5-14	40
109	15-19	8
109	20-24	4
109	25+	23
110	0-4	37
110	5-14	96
110	15-19	19
110	20-24	3
110	25+	44
111	0-4	12
111	5-14	36
111	15-19	4
111	20-24	6
111	25+	20
112	0-4	21
112	5-14	86
112	15-19	18
112	20-24	8
112	25+	21
113	0-4	12
113	5-14	76
113	15-19	14
113	25+	12
114	0-4	13
114	5-14	37
114	15-19	15
114	20-24	8
114	25+	28
115	0-4	16
115	5-14	49
115	15-19	17
115	20-24	7
115	25+	11
116	0-4	8
116	5-14	52
116	15-19	23
116	20-24	10
116	25+	8
117	0-4	21
117	5-14	67
117	15-19	10
117	20-24	5
117	25+	22
118	0-4	14
118	5-14	71
118	15-19	25
118	20-24	8
118	25+	16
119	0-4	13
119	5-14	76
119	15-19	14
119	20-24	3
119	25+	18
120	0-4	15
120	5-14	91
120	15-19	22
120	20-24	3
120	25+	32
121	0-4	14
121	5-14	65
121	15-19	17
121	20-24	3
121	25+	28
122	0-4	14
122	5-14	85
122	15-19	10
122	20-24	13
122	25+	24
123	5-14	35
123	15-19	13
123	25+	11
124	0-4	5
124	5-14	27
124	15-19	12
124	25+	3
125	0-4	3
125	5-14	40
125	15-19	13
125	20-24	6
125	25+	4
126	0-4	3
126	5-14	50
126	15-19	12
126	20-24	9
126	25+	22
127	0-4	5
127	5-14	38
127	15-19	17
127	20-24	4
127	25+	7
128	0-4	8
128	5-14	63
128	15-19	29
128	20-24	8
128	25+	13
129	0-4	8
