SA1_internal_2021	medianMortgageRepayment
1	19356
2	19464
3	19500
4	19236
5	22260
6	17160
7	15216
8	24492
9	26004
10	18108
11	25740
12	24960
13	21060
14	20796
15	24228
16	25068
17	23400
18	20796
19	
20	26796
21	25200
22	26004
23	21588
24	26208
25	21420
26	20796
27	22836
28	23088
29	23880
30	23640
31	24960
32	24096
33	22800
34	23988
35	31200
36	26004
37	22884
38	20400
39	16896
40	13860
41	14556
42	20796
43	24000
44	24000
45	20016
46	17760
47	20796
48	21012
49	23400
50	21600
51	13668
52	17136
53	26004
54	42900
55	16512
56	12900
57	24444
58	21600
59	18204
60	24000
61	32496
62	26004
63	27600
64	14304
65	20796
66	19464
67	23400
68	18204
69	25356
70	19740
71	49200
72	26940
73	12996
74	26184
75	19236
76	23640
77	36000
78	27816
79	36384
80	31188
81	36000
82	27072
83	25200
84	31200
85	28212
86	29904
87	28440
88	28236
89	28692
90	27324
91	25992
92	31200
93	25200
94	22812
95	23400
96	26004
97	27000
98	26004
99	30000
100	
101	
102	36960
103	25896
104	22800
105	18204
106	36396
107	28596
108	23400
109	31200
110	31200
111	33600
112	32400
113	34152
114	28800
115	30600
116	31464
117	28788
118	31488
119	33948
120	29952
121	31200
122	30024
123	30000
124	27000
125	31200
126	26004
127	36924
128	30504
129	23532
130	29376
131	30216
132	25296
133	31200
134	31200
135	35364
136	28800
137	31200
138	30936
139	28596
140	30552
141	31200
142	21984
143	31200
144	31200
145	26556
146	25716
147	26004
148	25416
149	31200
150	25476
151	23400
152	15600
153	28704
154	39708
155	33036
156	27948
157	30684
158	36000
159	31200
160	36204
161	39600
162	33804
163	38484
164	26400
165	34296
166	25476
167	31680
168	28680
169	10044
170	11688
171	12072
172	12996
173	25476
174	10200
175	12108
176	15600
177	12996
178	15864
179	13680
180	15600
181	13524
182	15600
183	20604
184	14004
185	17820
186	17448
187	14304
188	14556
189	18984
190	14040
191	
192	13104
193	20796
194	15372
195	
196	
197	8400
198	20796
199	12996
200	20796
201	25008
202	16464
203	26784
204	17604
205	21792
206	20400
207	23964
208	20604
209	15684
210	12504
211	24000
212	19656
213	
214	15240
215	17880
216	19500
217	37404
218	21600
219	14304
220	23100
221	31908
222	
223	20604
224	18000
225	16644
226	15600
227	15600
228	16428
229	19800
230	20304
231	24396
232	
233	24600
234	26004
235	24600
236	20796
237	20796
238	18336
239	16512
240	11208
241	15600
242	
243	15216
244	20796
245	22200
246	21600
247	15600
248	
249	
250	15084
251	18204
252	15600
253	16932
254	18108
255	17676
256	18504
257	18720
258	26004
259	18000
260	20796
261	23400
262	14400
263	26880
264	18108
